#{"env_id": null, "t_start": 1521868378.2702315}
r,l,t
-1669.499758,83,2.484323
-892.170885,55,3.834344
-823.234725,54,3.930216
-539.999908,66,5.253571
-1120.056676,53,6.625369
-889.060034,28,6.677256
-993.152199,49,6.763427
-1137.620201,68,7.952126
-842.602841,43,8.094249
-962.484958,48,9.212903
-813.464846,80,10.385408
-1067.763797,62,10.500058
-887.628596,44,11.636464
-1102.714672,64,11.748616
-577.486968,59,12.985385
-760.994979,58,14.178046
-1014.981449,53,14.280711
-914.276543,61,15.432874
-645.61512,57,15.537673
-971.422246,60,16.671866
-818.822508,60,17.881622
-742.190164,59,18.088381
-865.351027,61,19.643566
-874.763252,62,19.77822
-738.13049,63,21.063556
-982.188205,61,22.338668
-890.878749,30,22.392308
-1059.766073,56,22.487759
-591.890503,57,23.624639
-590.084726,55,24.749806
-691.247701,58,24.851219
-884.207736,48,25.963201
-1017.064604,59,26.067389
-893.498234,33,27.161161
-1173.923293,63,27.269593
-737.358655,59,28.648639
-966.974822,49,28.743503
-982.807768,56,30.08134
-760.541384,58,30.220157
-663.639249,58,31.446975
-1101.334892,63,32.583552
-1011.62518,44,32.683907
-747.169719,58,33.80762
-937.73575,32,33.86551
-967.191403,43,34.019402
-963.437776,43,35.265175
-814.561269,57,35.365566
-857.180506,61,36.532425
-919.581756,31,36.601183
-814.791641,64,37.838339
-816.675699,61,38.989793
-1025.044432,59,39.09328
-620.592352,59,40.410298
-910.269543,68,40.60844
-1022.966877,72,42.065624
-810.615822,70,43.528881
-483.99407,57,43.667899
-1185.270256,79,44.953589
-627.727443,57,46.103595
-860.387351,62,46.213757
-869.485476,61,47.403034
-910.398329,57,48.551934
-466.833175,70,48.678791
-784.463636,59,49.826587
-617.115854,70,51.001793
-576.807692,57,51.10739
-711.486931,58,52.507253
-827.426461,58,52.784253
-1256.405189,69,54.098099
-517.41249,58,55.485985
-813.535166,59,55.595066
-932.956214,59,56.763821
-685.557089,72,56.927889
-1360.671249,86,58.490868
-891.463616,58,59.710755
-659.000017,81,60.906089
-692.836722,60,61.014924
-554.286425,72,62.206957
-767.095999,59,63.377835
-827.445789,59,63.484365
-881.791013,75,64.677917
-319.629766,75,65.880807
-545.932622,64,66.007695
-549.612069,57,67.179997
-512.917478,67,68.337569
-542.053041,59,68.446528
-454.245354,67,69.603011
-679.890848,61,69.723852
-588.646162,70,70.87686
-438.03237,65,72.039537
-612.014458,62,72.151343
-783.744122,66,73.321012
-613.940249,70,74.529096
-630.444044,73,75.931755
-579.224647,61,76.048387
-108.07182,72,77.207791
-447.068328,65,78.357932
-954.9361,59,78.46445
-538.630701,68,79.626818
-513.659491,67,79.908462
-574.153512,84,81.384627
-655.90564,85,82.581707
-517.790602,59,83.733787
-507.453386,59,83.839154
-548.266662,59,85.011117
-617.894022,48,85.093294
-411.983829,82,86.32436
-589.251527,80,87.520588
-573.95161,63,88.684015
-621.251683,79,88.820076
-527.58971,74,90.000186
-744.288528,83,91.188562
-487.522457,74,92.367278
-448.189236,67,92.484648
-438.09851,57,93.640816
-431.283397,68,94.815924
-722.464859,84,94.966662
-832.767083,60,96.115508
-793.616941,76,97.313112
-515.39578,69,98.476185
-627.071111,57,98.608396
-496.62171,70,99.876142
-563.232517,69,101.268456
-514.340476,54,101.426967
-799.385946,73,102.79839
-1457.681397,86,103.99467
-676.97837,58,104.093304
-617.62763,75,105.405287
-524.37595,57,106.766072
-728.87485,62,106.883902
-618.929353,62,108.066143
-807.316843,67,108.335204
-521.700521,66,109.495689
-639.458494,79,110.690501
-478.158915,74,111.8778
-329.978028,60,111.985367
-255.404375,81,113.1591
-484.174901,59,114.311362
-933.576089,59,114.416502
218.24909,78,115.607822
-435.156206,77,116.800785
-533.195043,62,116.912648
-479.119356,66,118.103289
-492.269533,69,119.308836
-508.091791,63,119.420912
-455.754541,70,120.59207
-489.789856,59,121.745067
-830.897966,74,121.881636
-490.723974,65,123.04963
-471.397323,71,124.228364
-968.682959,76,125.675934
-352.579102,60,125.783088
-663.28767,59,126.932044
-571.902992,62,127.040508
-626.221999,54,128.195561
-667.267481,72,129.367822
-684.876395,60,129.483205
-653.273397,62,130.641023
-1074.292402,76,132.081005
-1243.961973,73,132.35048
