#{"t_start": 1522077230.8685284, "env_id": null}
r,l,t
-1957.833033,84,2.451586
-1128.420693,55,3.811189
-914.709545,53,3.907132
-1161.935349,57,5.087929
-1352.974127,45,5.178463
-1491.938581,58,6.313774
-1179.704042,53,7.438977
-855.930607,63,7.577876
-1556.776901,62,8.722734
-927.070699,44,8.800486
-1599.380259,60,9.942652
-891.315877,51,10.037004
-983.503538,51,11.182284
-819.492191,38,11.253756
-1016.757559,57,12.384033
-1892.107812,81,13.561038
-972.593296,61,13.669207
-1167.400769,66,14.84034
-1057.292382,49,14.927764
-1167.514028,74,16.088463
-851.987538,48,17.222111
-1139.035896,50,17.323527
-886.261725,48,18.490998
-1008.133558,44,18.70601
-834.389404,50,20.171269
-1065.281498,65,20.311522
-817.896464,55,21.562035
-1064.69273,60,21.68108
-1391.346671,71,22.86443
-1442.910804,66,24.017549
-1344.701529,85,25.215108
-958.067794,43,25.29527
-1061.314722,46,25.379736
-1014.388003,58,26.551173
-868.658947,54,27.940426
-891.679773,56,28.069684
-943.959612,61,29.220829
-933.2041,56,29.318647
-1043.24257,60,30.464337
-1539.439938,84,31.656573
-1129.972007,69,31.788192
-1159.944813,66,33.004452
-948.859017,56,34.157189
-1193.997843,77,34.2952
-998.738887,48,35.412791
-1400.357439,81,36.798793
-905.701838,47,36.898793
-913.20435,54,38.171957
-909.348354,39,38.258348
-1336.431313,73,39.549826
-833.096443,42,39.630895
-896.157684,47,40.752596
-1337.693975,78,40.893864
-1010.942739,73,42.065266
-899.660575,57,43.196206
-900.705006,60,43.311779
-1110.203207,57,44.501086
-884.912257,66,45.661654
-1647.539441,87,45.823386
-822.730066,57,47.002204
-884.395032,45,48.372054
-835.821721,40,48.529501
-850.794022,47,48.631645
-1782.16527,83,49.827611
-1689.484593,77,51.105386
-923.089669,47,51.195032
-949.881482,52,52.406386
-941.11594,50,52.688091
-899.268369,39,54.256409
-871.89931,48,54.345305
-1025.223985,57,55.488744
-1212.376345,75,56.762176
-1339.714485,85,57.956405
-935.928644,51,58.049497
-1594.295576,76,59.231029
-1092.061628,54,59.330627
-2541.464783,85,60.520797
-1129.460485,53,61.649566
-1007.484571,86,62.845258
-2333.31962,83,62.995953
-984.069434,49,64.125358
-1074.950843,61,64.244448
-922.358998,43,65.367812
-1311.701275,82,66.569396
-1061.363059,46,66.649569
-966.564741,54,67.779191
-910.640099,55,67.876445
-2337.143833,85,69.05932
-925.185001,60,70.218933
-1077.695511,51,70.307566
-1094.295454,53,71.440385
-1439.923348,247,73.974812
-7894.80312,384,79.318195
-2870.619225,112,80.561717
-904.167567,98,81.773778
8565.814556,451,87.892383
-4078.840705,255,90.466
-1338.068276,78,91.640247
-24503.558022,390,96.537901
-2620.350147,458,103.440894
3516.910132,217,106.526047
4840.446464,501,113.089333
-10997.050047,529,119.829425
-3089.514622,321,123.823401
-6147.271546,305,127.778423
-16899.261555,1208,143.940712
-2510.82418,313,147.944944
-1302.01624,209,152.058497
766.6807,208,154.562535
-1593.631784,114,156.25529
-911.121561,200,159.015689
987.667251,271,161.602525
-6901.812808,841,172.81304
3928.268477,341,176.527672
6184.677365,403,181.443893
5257.983639,777,191.696909
-23813.523974,734,200.701566
2332.582262,520,208.067782
-11725.584549,881,219.639189
953.749312,205,222.086156
1489.221153,301,225.775921
-16787.280716,1042,240.63553
2017.45384,263,244.254889
2354.986294,328,248.182444
1618.211852,251,250.725852
3804.153487,267,254.692746
-19.497603,167,257.088074
7607.209278,285,260.755222
-869.972193,76,260.892823
-4146.245558,159,263.515577
261.094676,227,266.065628
3628.366185,292,269.744228
-351.146248,208,272.452318
1592.965299,261,276.268915
-905.986131,112,277.522242
3810.643992,303,281.364969
-870.728009,567,289.158399
-4361.033501,526,295.671413
3062.473861,431,300.788193
9520.004471,306,304.711762
-684.847457,86,305.982585
-1412.779226,155,308.497543
-13641.31571,426,313.716895
-7401.64389,285,317.485351
-1646.965321,103,318.698471
-18944.347955,554,325.044559
-1677.752311,78,326.216575
4583.160523,290,329.858131
-17.357634,233,332.545922
-1773.744123,178,335.44944
-10680.854805,525,341.785581
-4134.315787,363,346.586895
842.511212,233,349.080806
4421.446891,326,354.164006
-19264.633605,525,360.293599
1306.141046,182,362.992837
-4015.008438,341,366.945755
-814.181935,232,369.43232
2668.603454,189,371.814795
-8116.836731,721,380.353727
1683.833236,216,383.944461
-1367.831663,118,385.183379
-1841.988651,349,389.334526
-7451.957716,383,394.518959
-1554.890892,202,397.306145
-9428.974463,586,404.90881
-6595.0127,385,410.033922
-4579.500831,371,415.481532
7458.401115,390,419.389102
2900.962405,207,423.360153
-1032.5424,260,425.890154
6459.865876,251,429.751085
-446.925797,212,432.234984
-1749.450282,96,433.435959
-7512.922333,430,438.503164
313.620076,231,441.401843
8591.018307,299,445.049817
153.315668,228,448.596718
1075.617586,140,449.886169
9116.993623,365,455.28546
2689.942549,246,457.793828
-268.691495,245,461.553641
-6810.716974,303,465.545694
-4749.661442,302,469.625882
6325.189237,290,473.264387
2409.849089,205,475.722353
8349.134163,368,479.961196
4849.92067,241,483.734437
3000.086107,248,486.463587
240.321003,263,490.247038
-2097.206975,190,493.039888
2422.79632,322,497.089706
-2478.656243,309,500.93184
8564.535736,385,506.075186
-21160.43783,567,513.020257
-300.362306,234,516.700234
7308.191898,369,521.724647
-686.417849,193,523.513806
17823.402605,489,529.869159
494.896389,514,536.258986
1345.660675,221,540.305274
1882.603635,202,542.893309
1801.581728,362,547.391529
3312.589897,271,551.293923
1825.224156,488,558.12345
3201.633242,191,560.697877
2253.924869,228,563.479892
-667.430966,224,565.974387
5682.549951,220,569.50419
-217.052586,191,570.88634
9217.076114,413,577.031732
2632.657213,206,579.538978
2072.621669,202,582.528065
6161.775086,294,586.365472
6427.393671,419,591.900923
12561.940888,387,597.236545
3949.212251,199,600.14691
-56.199565,131,601.558288
1435.917125,199,604.109893
66.921197,89,605.360492
2967.238075,244,607.994622
4426.882085,329,613.713371
-714.578368,183,615.196344
-648.870045,95,616.45025
-1689.359443,180,618.849132
-4246.642426,374,623.724734
3993.169353,233,626.825676
-3723.61796,467,632.908069
3900.598133,402,638.73275
14406.909116,277,642.352502
