#{"t_start": 1522347689.6304753, "env_id": null}
r,l,t
-2095.641706,103,3.788307
-1373.461762,79,3.928715
-2153.126845,72,5.089582
-1590.716979,125,6.353935
-2940.725775,95,7.576421
-1228.427958,95,8.793743
-4801.357999,121,10.036212
-1554.029368,65,11.19465
-877.015887,12,11.221635
-15868.581868,429,16.145172
-2174.371407,93,17.340506
-2602.468632,85,18.547884
-3580.713987,111,19.788824
-3436.855526,98,21.004779
-5163.076513,151,23.399088
-2321.878161,80,24.578791
-2366.833092,80,24.743667
-2675.391518,85,25.934437
-3313.288257,91,27.60294
-1789.872459,77,28.788
-9186.999519,176,31.196223
-2008.756709,81,32.391135
-1645.229975,76,32.527303
-1069.012106,66,33.692879
-4172.354863,128,34.97316
-1536.636994,49,36.112738
-2180.929404,81,37.33054
-1322.46255,68,37.460113
-1990.198848,89,38.66139
-2077.337536,83,39.852926
-21011.874047,320,43.984123
-10282.563238,214,46.463299
-2300.173543,81,47.69097
-8942.046743,184,50.099028
-1124.981044,66,51.284362
-6139.951345,173,52.872848
-4822.772975,178,55.273587
-1291.725909,67,56.450714
-3184.64924,100,57.665681
-1971.416855,92,58.877411
-1675.567801,79,59.081501
-2003.315232,90,60.638826
-1153.055492,69,61.814099
-1158.215017,25,61.863616
-4765.231439,129,64.183321
-1576.383663,74,64.31536
-1527.853154,112,65.551859
-2810.158023,112,67.848633
-1857.911048,76,67.986348
-1042.723586,64,69.150159
-1575.187375,69,70.438427
-3301.836036,96,71.669374
-1951.822231,79,71.811259
-1841.945317,83,73.002704
-3379.454763,102,74.253825
-1317.157523,72,75.501207
-4044.009085,116,76.755557
-1322.665051,69,78.146874
-1884.824326,89,79.702107
-2050.466251,99,81.08339
-1113.382353,69,81.217394
-1643.959887,77,82.481011
-2805.827175,90,83.752336
-2616.782968,82,84.991597
-7965.407149,190,87.916056
-1045.793963,67,88.085702
-2238.113682,87,89.603939
-1326.628058,106,91.161749
-858.939208,11,92.409476
-1500.353119,106,93.825011
-1961.169397,97,95.233773
-1798.763708,106,96.473696
-1510.467288,78,96.62727
-1172.455911,96,97.866061
-3729.26114,196,100.380625
-1864.869936,86,101.593713
-1938.186557,71,102.794872
-1152.439142,102,104.023532
-1204.556182,101,105.691055
-1969.073334,70,106.872577
-1526.754535,120,108.136584
-1854.095966,92,109.348462
-2065.124335,129,110.639151
-6344.457186,202,113.350607
-3016.999562,173,115.87415
-4493.891436,280,119.599511
-5221.773436,200,122.04242
-1908.845325,87,122.195162
-3872.428782,119,124.623903
-5788.843279,172,126.065573
-2772.48269,108,127.310869
-2166.748858,98,128.531412
-2543.961626,104,129.764645
-1741.813273,111,132.765774
-6625.528016,214,135.500608
-1885.422832,56,135.601767
-4903.977051,194,138.452278
-2053.852388,82,139.647488
3805.979201,292,143.309504
1459.851815,127,144.620793
1561.984332,119,146.1503
-123.456583,97,147.371825
420.834016,103,148.600589
1187.319458,110,149.852572
136.325953,96,151.088488
-359.477847,84,152.294212
436.92698,108,153.532888
-1536.971702,76,154.7184
45.589515,96,155.953181
1180.537997,115,157.393432
-255.745944,113,158.640074
388.85229,111,160.216023
391.033357,101,162.008441
382.744637,98,163.348418
10.25763,123,165.732566
-138.666592,96,167.064492
-111.460449,90,168.622446
1488.318275,114,169.934885
1680.234503,117,171.198598
1633.587373,118,172.480631
292.270802,97,173.768736
1045.750807,106,175.074904
2748.736422,120,176.380511
473.410113,104,177.636167
583.2618,102,178.877275
-1130.555672,66,180.191038
140.750586,88,181.784251
-1025.651492,80,183.061318
1869.605004,112,184.566108
737.59449,111,185.822265
1081.284619,107,187.061026
121.776244,87,188.349059
1227.880514,108,189.671568
882.96802,111,190.924291
-494.672311,85,192.134492
-752.74738,80,193.329319
37.24015,130,194.628241
-583.161916,82,195.826923
-847.990262,87,197.041499
-28.993598,88,198.273232
24.70158,92,198.437755
581.907849,107,200.735427
248.891902,132,202.030278
120.873097,96,203.271358
177.326952,101,204.502497
6581.797271,294,208.201172
-928.905354,78,209.671287
-819.0104,73,209.817521
5643.211958,277,213.533975
202.016548,358,218.448883
3135.431601,259,221.272881
580.735645,97,222.504342
-1211.313498,96,223.721797
-213.317044,98,224.948766
317.239843,97,226.177333
2318.214496,199,228.658287
-722.462834,93,229.87484
-735.361685,149,232.512374
-12761.474034,275,235.311421
-937.104244,83,236.551962
7.691826,88,237.760945
-4008.498093,210,240.514425
-15586.402544,476,247.17994
-1274.173106,317,250.919567
-927.207903,81,252.128222
-11040.714665,422,257.135014
-742.965637,77,258.344285
-887.299219,73,259.516267
-252.388666,89,259.825356
-976.75404,83,261.458735
-698.773359,92,263.051224
226.284918,88,264.260108
-414.921377,78,265.472019
-14746.3931,520,272.31561
-8721.097363,363,277.378752
-527.735528,85,278.575711
-13253.799941,491,283.683819
-5399.554789,325,289.129426
-1138.403158,73,289.339182
-1180.10375,76,290.87436
-1032.680322,76,292.07664
3114.748579,142,293.376997
907.309634,105,294.615079
-800.414055,86,295.898712
1877.925652,157,298.759876
-385.335801,86,300.023456
-620.688298,82,301.291485
33.822216,101,302.717327
7141.466746,298,306.636845
535.206279,118,307.976546
-1099.510566,73,308.169806
6780.837223,246,311.937919
2293.486757,130,313.273638
-853.013678,81,314.769923
2418.224449,176,317.257988
150.728818,130,318.535976
-1136.268884,355,323.330468
-825.585823,84,323.479461
-2597.940062,323,328.62829
-1248.851769,82,328.777384
-643.166006,91,329.985147
-4844.762663,415,336.11062
1039.851785,456,341.331567
1349.068686,163,343.707844
-1775.483468,400,349.028775
4924.962136,235,351.522663
-2288.997604,153,353.882437
-3748.747949,370,357.884042
-5664.075767,337,362.98229
-121.733793,305,367.231069
933.164682,204,369.695624
-5307.76497,389,374.734266
1698.223703,214,377.330582
-978.040908,159,378.734776
-3152.400584,350,383.531549
9956.304395,275,387.151979
-102.759337,186,389.561329
-878.035521,233,392.324553
-5030.803722,226,394.838208
-568.473773,263,398.43348
-1576.985212,218,401.397864
-3748.825589,183,404.27547
-8482.336114,251,406.786241
-3905.062795,206,409.840809
1313.610201,250,413.663035
1467.737959,230,416.173694
9.35524,294,420.12389
-4235.062117,200,422.559624
-1870.107899,113,423.805242
4064.295251,261,427.471969
-2218.166073,184,429.993586
-4794.631519,174,431.397542
-4869.053789,218,434.996377
-1539.571994,194,436.446758
-483.905972,203,440.22421
-10393.843259,361,444.273097
-2660.646041,213,446.734907
-224.347517,264,450.373757
-1251.358285,238,453.039726
-3000.156673,230,457.082101
2099.230564,269,459.661881
-8119.336808,209,462.232023
2489.051858,127,464.687004
-2739.98206,190,467.110736
735.926873,191,468.781967
-12454.00038,378,473.648045
-1762.171092,212,476.074423
358.217194,241,479.628141
-14167.272888,366,483.542123
-2589.78333,140,486.422297
-111.699168,114,487.687662
3505.119695,218,490.165177
6434.749671,289,494.058564
-1647.451138,218,496.545403
262.400823,245,500.207324
-7230.013919,229,502.949128
-3375.762188,124,504.314921
116.822622,175,506.813285
969.241428,142,508.11966
-938.710922,218,511.99027
-1348.357689,140,513.33549
-1243.882857,128,514.637881
-3975.665983,198,517.122221
3078.145416,190,519.84315
1663.825254,143,522.217351
4925.574633,219,524.716743
-460.512783,115,525.982602
-2460.091915,152,527.314698
-13404.396083,325,532.111914
1414.412935,302,536.107308
992.411061,221,538.732465
3395.880792,187,541.57046
-304.980882,123,542.876822
96.34806,122,544.162062
-1242.83495,249,548.054434
1237.256215,190,550.523263
-603.991506,315,554.307479
-32.343013,236,556.837348
-3871.237443,271,560.994132
7473.726241,269,563.694347
93.752964,283,567.478223
-2029.265394,90,568.709247
7882.78315,290,572.969436
4823.176002,218,575.614195
9870.613883,309,579.658541
-2370.787945,64,580.851282
9795.719868,382,586.650656
-5222.250217,133,588.106161
-2222.058938,83,589.575891
3681.483688,241,592.282685
-2679.85126,174,595.145508
-4559.505968,375,601.348311
-1553.686438,202,604.010123
-1319.658899,115,605.307877
4955.876524,169,607.947648
-2458.094531,255,610.816464
10911.205717,274,614.861115
2085.502324,251,618.553905
-2178.335471,166,619.937295
231.819544,422,625.310338
4722.532772,167,628.211673
4946.243428,271,631.960862
-185.730291,175,634.450035
-1873.237605,75,634.585598
-834.873119,277,638.348275
-1451.766243,173,640.842388
-2306.41722,274,645.260657
1088.240226,211,647.80865
1589.688517,393,653.558812
-2764.594575,94,654.820175
-7943.64603,447,659.978251
3084.561479,264,663.720623
2011.650161,231,666.327058
-285.1426,304,670.149337
8917.864668,334,674.040849
1495.947841,217,677.693055
490.362687,254,680.567805
7354.454045,286,684.477883
-2613.751149,254,687.121542
1196.506251,283,690.954577
-2256.694116,229,694.653558
1871.004607,192,696.110401
-1720.742549,224,700.286964
-1680.06226,173,701.763475
3340.399201,241,705.76617
-765.059034,143,707.108862
