total/episodes,total/steps_per_second,rollout/episodes,reference_action_mean,AI_return,AI_distance,rollout/episode_steps,obs_rms_mean,rollout/actions_std,total/steps,param_noise_stddev,reference_actor_Q_std,rollout/return_history,reference_Q_std,reference_actor_Q_mean,total/epochs,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,rollout/Q_mean,train/loss_critic,rollout/return,train/loss_actor,reference_Q_mean,obs_rms_std,reference_perturbed_action_mean,total/duration,rollout/actions_mean,AI_success_rate
18.0,79.11041150436265,18.0,0.49989792704582214,-3266.9263879159726,13.042706382063846,109.94444444444444,0.3506828248500824,0.8969746232032776,2000,0.0938870272490043,157.84437561035156,-3266.9263879159726,157.90560913085938,-228.38693237304688,1,0.041156474441522733,0.8655794858932495,0.8659653067588806,-102.6800308227539,214.51296997070312,-3266.9263879159726,198.36508178710938,-230.28147888183594,0.29909610748291016,0.4992297887802124,25.28112244606018,0.2760334610939026,
35.0,79.12117609348107,35.0,0.4999981224536896,-3850.2683661971882,14.17851503111727,111.68571428571428,0.3335966467857361,0.8900134563446045,4000,0.14546082105423455,357.5396423339844,-3850.2683661971882,355.19793701171875,-462.42822265625,2,0.2751904241123702,0.8580797910690308,0.8660240173339844,-220.95889282226562,1953.5306396484375,-3850.2683661971882,440.63165283203125,-463.36761474609375,0.28418347239494324,0.446909099817276,50.555365800857544,0.31870946288108826,
57.0,79.02297478589597,57.0,0.4999973177909851,-3318.451507460566,14.2876701091594,104.66666666666667,0.33043432235717773,0.8830350637435913,6000,0.15136711368692893,525.93505859375,-3318.451507460566,522.495849609375,-703.177978515625,3,0.2520187424472533,0.8958798050880432,0.8660237789154053,-296.42437744140625,1361.522216796875,-3318.451507460566,659.1903686523438,-700.6062622070312,0.29121944308280945,0.3412170112133026,75.92728590965271,0.34683486819267273,
78.0,77.32795402203669,78.0,0.23438215255737305,-2982.724258860658,13.80493025331618,101.7948717948718,0.32896941900253296,0.8991190791130066,8000,0.03684651794543578,635.22412109375,-2982.724258860658,639.4293823242188,-898.8046875,4,0.21434304639697074,0.9379755258560181,0.9654278755187988,-362.20111083984375,2176.4736328125,-2982.724258860658,778.932861328125,-904.3819580078125,0.29271936416625977,0.2680499255657196,103.45547223091125,0.32559439539909363,
93.0,77.57792935372777,93.0,0.1927623152732849,-3004.32826583477,13.793096987200007,107.47311827956989,0.33776840567588806,0.9093029499053955,10000,0.01873022676619508,691.8906860351562,-3004.32826583477,696.1048583984375,-1033.175048828125,5,0.19662541553378104,0.9726669192314148,0.9670354723930359,-445.1709899902344,2223.720703125,-3004.32826583477,889.5177612304688,-1040.931640625,0.28983768820762634,0.1822846531867981,128.90264129638672,0.30990785360336304,
109.0,77.37188538436247,109.0,0.5129246711730957,-2656.6808912266774,13.535151699988534,109.72477064220183,0.35305124521255493,0.9065712094306946,12000,0.016294603698363365,715.6987915039062,-2709.6371286419185,741.4296875,-1141.1116943359375,6,0.2004469332098961,0.7875964045524597,0.8277304172515869,-426.08233642578125,2215.136962890625,-2656.6808912266774,940.527587890625,-1172.3682861328125,0.29627659916877747,0.5474453568458557,155.0950961112976,0.3262278139591217,
128.0,76.77710380346923,128.0,0.5620796084403992,-2185.9418023448434,13.35618477265005,108.7421875,0.3693981468677521,0.9012144804000854,14000,0.01662212523270047,639.0367431640625,-1927.7033288306536,646.3673095703125,-1104.5335693359375,7,0.20196328684687614,0.7917717695236206,0.7989952564239502,-383.8068542480469,1404.8582763671875,-2185.9418023448434,877.9834594726562,-1142.36376953125,0.30411964654922485,0.5689201354980469,182.34602904319763,0.35284486413002014,
146.0,77.11156907954276,146.0,0.445112019777298,-1841.1936196951242,12.967115077375386,109.1027397260274,0.3779502511024475,0.8946086764335632,16000,0.015350253774398782,598.8340454101562,-1043.1259069059327,604.35009765625,-1000.4251708984375,8,0.1952213703095913,0.8459033966064453,0.8502195477485657,-364.3324890136719,828.6433715820312,-1841.1936196951242,704.9636840820312,-1028.460693359375,0.3065667152404785,0.44423896074295044,207.49156308174133,0.37465429306030273,
158.0,77.252543251415,158.0,0.18429628014564514,-1653.4670202385325,12.752989007337405,112.67721518987342,0.3825065493583679,0.8902041912078857,18000,0.013896384493189945,592.1602172851562,-707.7338822179215,598.1991577148438,-903.9739379882812,9,0.20118437141180037,0.9391682147979736,0.9542230367660522,-353.9518127441406,2679.5615234375,-1653.4670202385325,559.0222778320312,-934.1126708984375,0.30471521615982056,0.20970767736434937,233.00203776359558,0.3804948031902313,
169.0,77.2171424241817,169.0,0.18562045693397522,-1832.2977839080497,12.79797654637973,118.3076923076923,0.3864623010158539,0.8872168660163879,20000,0.011388705069074755,588.7202758789062,-936.3379948619399,593.421875,-878.945556640625,10,0.2077025815844536,0.9032639265060425,0.9244440793991089,-346.8409423828125,1502.3699951171875,-1832.2977839080497,474.1552429199219,-900.1453857421875,0.303124338388443,0.2387702763080597,259.00984382629395,0.3799407184123993,
