#{"env_id": null, "t_start": 1522528915.708846}
r,l,t
-1350.970678,84,3.329595
-1354.026577,70,4.698744
-1012.280551,52,5.846774
-3277.766564,120,7.160674
-728.766377,88,8.364745
-1593.812565,83,8.515693
-1856.332608,91,9.693828
-532.738697,74,10.868127
-1546.849109,81,12.053348
-1110.561083,58,13.191343
-1177.846564,74,13.329431
-1289.294749,66,14.470906
-1184.354662,74,15.626597
-1071.177985,68,15.755267
-2997.719031,83,16.916729
-910.260157,81,18.080007
-1600.527775,76,19.237104
-1794.113038,80,20.380642
-12898.291931,294,23.36701
2388.80915,241,27.333435
-1011.503573,79,28.941018
-2655.103095,151,30.238177
-741.818717,83,31.420222
-1483.13557,86,32.611847
4275.671933,163,33.944359
-139.239824,84,35.142405
2791.732047,288,38.756124
397.062478,420,43.736823
-787.600485,101,45.016675
-923.367389,98,46.212251
-842.953633,94,47.407032
3311.649975,256,50.908866
-281.220486,121,52.174224
-723.41181,96,53.633401
2689.893938,203,56.92878
-848.95312,360,62.547277
-851.085899,70,62.700225
-6612.056023,229,67.121851
5343.046143,214,69.62175
-568.625423,358,73.387499
1562.403897,256,76.95021
-976.084491,82,78.139141
-928.194422,77,79.313248
1894.146699,167,80.874744
-62.883518,171,83.266826
3350.428022,173,85.630098
4908.842709,201,88.019506
7871.841831,232,90.504472
4246.80443,274,94.053828
3589.993803,197,96.470205
6655.208585,309,100.027628
5471.176034,210,102.48887
1910.86912,212,105.14866
2655.301344,243,107.623983
-630.923645,229,111.124136
1535.57715,195,113.561221
7246.796225,265,116.124264
4115.647628,304,119.767363
1888.807969,179,122.167423
6837.268792,398,126.938264
3842.704873,274,130.689564
2087.303512,291,134.370304
-3867.19392,428,139.319929
-890.064165,91,140.529662
3011.118182,214,143.0294
-288.18155,91,144.251324
-2736.802323,357,149.090753
6857.231806,243,151.595569
4826.510073,220,154.309948
-185.449265,188,156.714735
3490.632878,171,159.412711
4474.614249,184,162.067403
2642.712596,243,164.657952
262.178562,254,168.369122
4675.159594,235,170.959843
1664.511652,299,174.714162
-1187.353691,207,177.158002
495.815087,172,179.742655
1862.210499,166,181.05966
