#{"t_start": 1522565992.6862485, "env_id": null}
r,l,t
-2563.032048,108,3.596104
-964.148834,103,4.810727
-1913.290661,96,6.024421
-20073.50727,401,10.886672
-2037.598766,119,12.138896
-997.279677,103,13.370636
-657.48609,101,14.587439
-2308.69924,89,15.786672
-1206.200348,106,17.011692
-964.448526,89,18.206704
-725.024533,90,19.403393
-950.737142,85,19.557248
720.456908,126,21.853757
-1509.039699,98,23.04852
-567.367352,85,23.198809
1411.326488,138,25.530432
-1205.006092,91,26.955419
-1058.479432,88,28.181633
981.932289,110,29.592625
-1032.20998,91,31.033673
1665.162656,121,32.252394
96.241238,120,33.511265
-709.013981,92,34.73084
-116.855055,100,35.959586
1884.901524,118,37.219999
-1021.609293,85,38.430644
-497.209861,136,39.712416
-1008.169487,83,40.921896
750.745928,120,42.189919
-911.272825,84,43.391763
-573.739643,96,44.616444
-792.901246,89,45.834071
-945.378926,86,47.043312
-1117.933142,86,48.255304
-628.481819,84,49.462268
-1320.749184,93,50.696126
-636.109022,87,50.839845
529.201701,119,53.350362
-591.517709,103,54.576401
-1508.120637,90,55.794217
-1039.146777,85,55.957521
-1269.601902,86,57.162102
-1131.884116,88,58.390899
-95.331314,107,59.634706
-624.568404,90,60.854545
-500.318631,87,62.07382
-692.071256,86,63.286762
777.155762,106,64.509244
-801.033143,122,65.763581
-1137.255483,88,66.962003
-805.432445,86,68.167255
-499.10206,97,69.410272
-1350.699711,86,70.63319
-479.600695,88,71.854444
-1206.83644,90,73.074643
-850.745983,92,73.24621
-142.17905,116,75.557874
-1489.584632,89,75.70419
-1523.999229,88,77.084272
-689.928717,90,78.278206
-134.582564,109,79.531415
-1430.343322,88,80.745586
-583.911473,105,81.997296
-740.765747,86,83.211606
-600.140217,103,84.446851
-655.129415,85,85.652792
-1388.457392,96,86.84946
-1055.602226,86,88.034949
931.209931,146,89.325152
-888.127831,89,90.53854
-2504.843327,154,92.920181
-759.027771,100,94.158287
2760.256644,152,95.485804
8.708817,113,96.74766
400.652383,134,99.073104
-89.038985,109,100.311564
-1465.009001,92,101.748176
-857.811218,104,103.002115
-859.84679,84,104.188938
-750.377689,94,105.382159
-1448.500432,101,106.608464
-1140.696703,96,107.832663
-1068.070827,102,109.05738
-180.829078,100,110.301101
-113.855461,102,111.5251
-517.843278,105,112.762266
-154.646313,130,114.062928
-130.627774,99,115.289319
-741.29831,140,116.597642
-613.366992,103,117.839433
-916.348071,95,119.063177
-552.936337,98,120.273285
-758.690854,95,121.488013
-1197.798167,100,122.726819
-1453.01526,108,123.983751
-1551.688141,99,125.15527
-1069.741811,97,126.60982
-401.98342,91,127.818366
-990.825808,95,129.035834
310.382957,111,130.290254
-1598.482018,93,131.505796
-1007.627499,95,132.718138
201.043615,108,133.960129
-720.933159,92,135.174199
-667.791032,96,136.392719
-1184.383339,99,137.620045
-369.700253,98,138.823092
-1175.008058,96,140.026398
-827.112151,93,141.221625
-841.763975,115,142.462323
-1357.7075,95,143.666466
-799.651891,94,144.865161
-80.22393,117,146.103005
-832.294021,93,147.298928
632.869181,111,148.524636
-664.097978,92,149.722745
-1162.596333,98,151.189893
-869.177743,101,152.421876
-336.622671,99,153.631267
-1008.781341,96,154.838284
262.318889,106,156.063867
-1173.192035,95,157.248967
-843.675105,101,158.450181
-763.657123,96,159.631721
-914.354205,98,160.864398
-1119.404139,97,162.081621
1187.277893,146,163.387392
-1140.949576,92,164.601741
-1097.649972,92,165.811831
-870.69928,92,167.02596
347.987651,121,168.290914
-597.181305,93,169.495303
-465.140356,102,170.710713
-671.817997,92,171.926927
1079.069501,123,173.192731
-443.752088,102,175.70348
988.998292,112,176.944053
493.875684,110,178.192921
310.5993,108,179.432352
-562.509691,104,180.659505
-50.965537,109,181.893365
-257.901648,99,183.113297
-294.971587,86,184.325202
-813.100765,108,185.568988
-470.314784,101,186.818478
-848.756188,95,188.054649
-1244.484037,119,189.332431
-1206.598105,125,190.607853
-791.404877,80,191.814603
-569.520153,118,193.095906
-59.487796,101,194.338633
-1398.140556,121,195.604691
-14180.926903,320,201.417832
-186.83395,120,202.675667
-4835.402134,187,205.085212
-771.131947,113,206.341913
-616.006836,146,207.672047
-739.807226,107,208.928308
-853.307439,93,210.142375
-747.59768,113,211.393813
-1155.724353,115,213.783669
-2130.665164,115,214.982948
-1369.164246,115,216.189236
-641.324772,107,217.438164
46.227828,149,218.756509
137.749741,131,221.099873
69.086675,140,222.407035
-260.975207,99,223.63667
283.634285,109,224.898784
-93.407791,106,226.354667
-839.671155,96,227.528278
-850.909788,107,228.745234
-687.567938,107,229.984616
-470.799194,106,231.211025
1616.868462,151,233.548824
-917.591859,98,234.755849
-1804.182831,137,236.025215
-689.175898,100,237.246875
-35.731842,99,238.473156
-306.296608,154,240.843797
-634.646189,96,242.068125
154.710784,103,243.315991
4130.951621,254,245.900803
-391.859977,98,247.104247
-488.028153,91,248.319046
-617.520915,94,249.51774
352.722246,141,252.088999
-522.184655,100,253.320482
-639.219809,100,254.542979
-1253.50812,101,256.242527
-190.649888,99,257.83804
140.356317,111,259.43067
-814.623662,103,260.839654
711.382871,109,262.145867
-3657.531442,159,263.529914
-3198.027057,174,265.993398
-238.211219,111,267.248076
3092.017462,148,269.614322
-153.418437,102,270.865938
-931.599168,98,272.102331
1198.333699,140,273.39338
-4140.498649,192,276.410565
9.974332,101,277.993003
-3134.243635,274,281.644651
-312.955519,132,282.893911
-10598.716124,445,288.988305
4509.371241,181,290.426481
