#{"t_start": 1522638728.728075, "env_id": null}
r,l,t
-2272.53587,104,3.548488
-1186.508801,77,3.679782
-2272.246033,78,4.898366
-9661.989778,244,8.501427
-1268.629433,65,8.621204
-11115.084424,251,12.217807
-1832.994836,80,12.368805
-1538.385707,76,13.543272
-1543.123939,75,14.726677
-3045.06978,91,15.931099
-3211.106488,109,17.215053
-4169.661725,100,18.431086
-11720.275533,208,20.850248
-12190.482031,246,24.472291
-6505.534731,209,27.28302
-2371.383575,88,28.589556
-10163.659441,173,30.00156
-8053.742267,193,32.549178
-6137.177462,183,34.986084
-7589.068946,189,37.43535
-4241.483107,162,39.838835
-1842.253385,79,39.988223
-4041.101525,154,42.374235
-3514.777039,143,43.694497
-2312.568396,124,46.351724
-5748.76611,163,47.761014
-2899.346237,121,49.051687
-2273.48181,77,50.239805
-1408.226668,43,51.375183
-4681.78802,153,52.877833
-1618.362994,72,54.059115
-5494.534187,148,55.411719
-2734.948053,135,58.216956
-2047.392307,143,59.496595
-3480.949318,103,60.716404
-10489.180519,204,63.147482
-14332.418415,235,65.728528
-9082.409922,186,68.130311
-3641.684335,107,69.372463
-6209.29333,187,71.783989
-1824.137502,85,72.991603
-2468.697834,158,75.472678
-15011.873584,261,78.274592
-7611.239042,189,80.741898
-22424.152425,394,85.751573
-22657.169793,428,90.72817
-16790.541244,252,95.048789
-23785.072913,354,99.731021
-16993.726804,297,103.509552
-9848.867814,253,107.38381
-20352.78143,309,111.925739
-1657.885499,51,113.12004
-12544.801826,269,115.74792
-1589.296129,83,116.969878
-1645.019357,83,118.174443
-11205.850853,228,120.720269
-1595.108161,49,121.873047
-1123.343358,71,122.010491
-955.823379,16,123.100548
-5899.748268,189,124.506905
-8097.316239,230,128.109955
-14832.705486,301,131.987242
-8216.53056,212,134.482129
-919.457217,67,135.67698
-4623.916509,166,137.215083
-2769.024375,85,138.473677
-1420.365433,72,139.696985
-2250.559653,99,141.0112
-1175.511095,72,142.235799
-7149.745928,171,143.576221
-1345.521554,36,144.675915
-1154.14832,64,144.793622
-916.703707,14,144.821516
-1007.170361,67,146.012827
-1487.424002,72,147.218509
-1198.313079,66,147.369214
-3897.672109,122,150.072454
-1505.886502,70,150.211037
-1628.745386,53,151.388694
-4399.291498,165,153.855468
-1570.928068,79,154.005614
-1057.53578,71,155.205684
-2448.307238,92,156.687125
-3177.135467,90,157.880897
-1170.37895,70,159.036559
-2669.113302,111,160.27328
-1331.021952,130,161.54381
-1362.513337,76,162.713334
-1026.746265,19,162.751494
-927.504921,65,163.904824
-1597.691728,76,164.051942
-1652.458871,72,165.250384
-2759.340074,121,166.539168
-2580.525725,99,167.804492
-1452.457966,72,169.018137
-3515.530922,140,170.34505
-1871.434494,81,171.541149
-1220.883391,70,172.72518
-973.999144,64,172.85096
-1932.151189,79,174.052053
-2683.46274,116,175.322669
-2149.478211,88,176.537818
-1333.762432,73,177.744823
-2562.474548,99,178.968775
-1571.868493,80,180.173345
-2202.913988,87,181.617537
-3333.476224,115,182.864269
-1530.408039,81,184.045245
-2522.091576,122,185.311952
-981.390427,17,185.34527
-1571.279894,62,186.481602
-1574.236845,77,186.617222
-1939.284037,70,187.77018
-1960.243957,84,188.951147
-2022.726621,87,190.165798
-2080.444825,83,191.369901
-2097.587117,92,192.607421
-1291.512402,81,192.757682
-1754.05894,79,193.960274
-1849.581477,84,195.258591
-3922.177069,139,196.637691
-1051.612639,71,197.858162
-1602.200942,82,199.096155
-1678.081773,57,200.280481
-1756.622511,59,200.398388
-1242.223744,73,201.599979
-1718.205209,112,202.869053
-1768.332166,85,204.087597
-1601.831095,78,205.300382
-1503.864768,51,205.399122
-2245.174827,85,206.864818
-1244.539087,79,208.085917
-1529.165306,125,209.370372
-1217.912267,53,210.516756
-2492.267541,121,211.807733
-1127.567803,65,211.927095
-1463.84121,79,213.135404
-2063.735395,87,214.351347
-1792.05772,85,215.555841
-1520.137046,75,216.729628
-1338.596193,77,216.869996
-1714.249364,83,218.080914
-1364.122722,55,219.224751
-1103.726367,23,219.270838
-1184.181743,78,220.472316
-1263.687661,81,222.337765
-1794.463732,82,222.547557
-1110.885652,72,224.040253
-1299.209875,39,225.325374
-1293.214951,71,225.482993
-354.560351,76,226.837658
-1268.937637,79,228.181925
-2089.78576,88,229.549365
-1436.992815,69,229.698828
-1830.923651,77,231.045808
-1449.651351,43,232.213533
-1591.355899,83,232.374449
-1323.173913,55,233.753193
-940.868806,79,234.936968
-1584.364685,82,236.134872
-1721.353526,82,236.291608
-1611.866975,73,237.502607
-2033.150703,116,238.761235
