#{"env_id": null, "t_start": 1517884944.6727502}
r,l,t
1111.221149,67,1.858479
-9737.394017,110,2.628798
-8667.569874,100,3.256388
6086.273026,112,4.092954
875.693829,72,4.760225
131.608926,62,5.305753
554.527418,54,5.407183
6.092335,10,5.42873
146.795243,29,5.948527
1622.756053,64,6.0656
19.566484,39,6.582309
848.453452,56,6.686666
307.423375,53,7.232951
683.342852,53,7.328232
679.27324,52,7.84941
560.892817,49,7.932744
315.529944,49,8.461994
508.832336,43,8.546138
1272.772212,68,9.104344
419.091795,52,9.19259
501.373772,48,9.703983
514.218071,44,9.781269
662.204527,53,10.317297
155.207466,28,10.368271
149.989995,26,10.414686
270.962021,41,10.926655
557.713225,49,11.013568
856.364141,49,11.55877
530.527019,48,11.64347
178.655977,42,12.172641
605.958384,52,12.271102
1088.29454,66,12.849519
328.629284,47,12.936324
317.30585,48,13.463593
837.38456,45,13.545081
571.231407,53,14.089107
220.342168,54,14.1903
0,1,14.192997
216.615477,30,14.860387
206.984007,41,14.932036
20.511529,14,14.955878
479.107184,62,15.499865
358.410695,49,15.593316
2412.854789,70,16.171484
2088.284847,71,16.757351
836.908572,54,16.856701
2202.135515,71,17.42238
4863.749663,82,18.017371
40.009514,17,18.04938
1704.974356,64,18.595821
1083.470942,60,18.716675
41.590191,17,18.785905
2471.034651,84,19.453611
1287.947225,65,20.016091
1778.839112,72,20.598329
609.18935,55,20.695371
917.489967,57,21.227019
907.801438,48,21.311203
754.87885,53,21.858884
916.626617,58,21.958702
690.108495,45,22.493697
357.089047,36,22.558862
2186.235887,69,23.127936
987.67067,56,23.228509
795.022834,50,23.761115
978.723365,60,23.870883
29.541795,16,24.380946
5637.937419,93,25.005575
3.133789,15,25.033203
3472.368755,89,25.60987
2272.135922,69,25.741358
25.604802,30,26.226889
1806.013658,69,26.350197
2499.520178,74,26.949129
824.532841,59,27.617261
413.36424,52,27.71122
537.447377,51,28.231226
1800.163095,72,28.359458
976.39999,65,28.924868
535.149254,57,29.470599
528.977416,59,29.575345
254.858025,46,30.09249
213.250498,42,30.166592
510.277405,53,30.691546
3.652064,8,30.709464
464.746969,70,30.843503
5.318228,9,30.860846
467.952333,39,31.375086
279.697981,49,31.459966
959.419622,52,31.992532
896.288432,66,32.557636
1044.764753,64,32.671486
32.475437,16,32.701458
397.336657,59,33.244103
466.360156,73,33.831133
318.670896,34,33.895757
232.393473,30,33.950722
1185.448768,54,34.470522
829.258824,47,34.552153
1608.945655,80,35.18227
2041.281621,75,35.80395
521.088878,82,36.420573
1938.422107,79,36.567493
1649.633618,77,37.169239
864.249922,46,37.702058
1781.865083,60,37.819067
2316.486014,78,38.432204
3020.553168,82,39.041642
3110.027993,80,39.703517
2254.74317,86,40.591238
1880.244548,77,40.737717
2782.930784,82,41.29743
2066.544844,63,41.860095
39.23163,17,41.891618
46.849037,18,41.95295
4941.128029,78,42.77734
4741.84199,84,43.406585
1188.529668,50,43.503767
0,1,43.507618
105.928706,23,43.55006
2152.079164,63,44.095006
1576.512662,65,44.652066
314.020148,43,44.726619
52.912593,19,44.759432
6079.263482,91,45.356584
3755.629019,79,45.950464
1894.84233,63,46.501788
1122.742825,57,46.603934
6032.67119,87,47.205534
2206.654359,65,47.776059
1892.889839,62,47.900298
1034.205867,56,48.480532
3856.638001,81,49.090065
1273.500994,60,49.195717
148.678413,38,49.757516
395.408689,46,49.85032
6838.234656,100,50.605421
1306.03358,62,51.210745
747.613161,53,51.303436
60.27444,34,51.804243
707.27432,52,51.895747
7.808859,22,51.932768
1600.862416,62,52.499408
3187.457044,78,53.100221
5.599636,22,53.142895
61.931357,34,53.206585
4448.097978,84,53.983782
561.037014,49,54.514975
2380.612634,79,55.1117
32.7803,31,55.168884
6503.932356,91,55.894696
60.425041,34,55.955674
7310.976242,107,56.600972
586.953321,50,57.131236
1621.393521,63,57.241279
333.326368,44,57.77364
593.556202,50,57.862442
2277.22496,82,58.454089
859.071386,54,59.007619
101.263301,35,59.074649
599.68774,51,59.167808
287.875123,43,59.715031
3366.100461,80,60.299269
259.832941,42,60.377385
66.195248,34,60.439104
60.42244,34,60.954014
1635.072625,61,61.06893
1398.680802,71,61.649469
862.722403,54,62.214753
5020.341294,82,62.365379
2698.204713,80,62.973006
86.696005,36,63.478307
2937.284404,89,64.065927
4913.353797,97,64.241534
5075.899574,79,64.834354
8607.912031,97,65.436586
2001.734602,62,66.004098
635.183739,49,66.090693
3780.049588,68,66.929435
5334.953857,78,67.808312
8080.410015,96,68.440581
6973.432061,97,69.048621
5073.371901,99,69.65914
969.555371,54,69.753245
1124.912225,56,70.307823
2878.551098,64,70.423984
5771.131315,88,71.039975
285.683377,43,71.581518
5386.022177,83,72.18878
455.239274,47,72.276201
683.50986,51,72.836027
-0.353804,14,72.864625
8560.14347,109,73.510018
21.989869,31,73.5689
2.719114,21,73.609008
5885.408668,106,74.59578
919.80387,54,75.235774
105.493607,37,75.300579
7608.480465,95,75.925558
6231.055183,100,76.548445
2525.116853,65,77.115273
1515.794604,65,77.668186
1027.073792,74,77.806255
84.707251,32,78.324785
566.949352,73,78.458394
89.929189,32,79.014022
399.70594,55,79.117413
3128.129402,85,79.794349
1682.907083,79,80.508638
191.054758,36,80.579667
252.842615,40,81.113837
247.430588,59,81.218588
98.612599,78,81.788722
146.070742,64,82.371199
1057.508069,95,83.002724
610.056054,90,83.167259
6857.935368,92,83.795081
54.717829,25,84.281665
941.313854,59,84.393176
472.518961,55,84.957718
101.492104,29,85.010645
7253.433919,98,85.628132
1026.758929,57,86.159338
1203.497128,84,86.312057
7153.652242,91,86.926581
3127.961463,76,87.507625
241.573881,40,88.024804
277.863306,42,88.099384
250.468002,40,88.169939
4006.24801,88,88.791886
1030.113732,57,89.365315
1160.797431,82,89.962395
1567.173134,75,90.099156
1815.8953,66,90.683881
359.998918,104,91.329254
11.469137,16,91.35915
1232.18691,67,91.942216
94.244233,30,91.998415
30.358495,18,92.033204
1882.894969,81,92.615683
114.217915,30,92.670952
-1743.312534,92,93.520115
-4930.465076,123,94.621581
1329.302926,63,94.736923
2671.396822,81,95.417709
3.78832,17,95.541951
297.123227,43,96.220252
2665.758332,72,96.369829
5.829787,21,96.849849
971.809268,56,96.958147
700.772585,52,97.488315
4842.358458,92,98.104249
1007.653602,54,98.205111
3842.394884,76,98.818611
79.005961,24,98.864675
4371.33462,83,99.483279
5022.713542,76,100.081709
198.005979,30,100.138039
852.996909,47,100.691769
958.090447,51,100.78747
2311.831116,69,101.34838
546.13349,41,101.421183
1115.784567,55,101.974031
3413.80999,73,102.098804
28.608483,15,102.58345
461.011689,40,102.662094
4677.66178,77,103.260572
2339.554347,69,103.386694
6703.6371,84,103.989842
407.280782,43,104.525263
5312.025064,93,105.167648
516.311198,44,105.24765
1264.420577,59,105.81046
534.19524,48,105.898946
4081.599831,90,106.65729
24.496907,18,106.691329
3744.006776,82,107.316916
6.306019,12,107.339642
790.462503,53,107.917141
622.535936,50,108.008094
21.812487,15,108.036103
156.426374,29,108.535871
1425.985168,61,108.649303
5115.16347,92,109.243942
1233.72965,60,109.810878
378.495917,41,109.887414
29.287031,15,109.916042
750.416236,52,110.457049
1803.065834,64,110.584922
522.540166,47,111.136172
38.725281,19,111.171268
613.808205,51,111.740742
144.042007,28,111.93959
744.584377,53,112.321666
36.530938,20,112.865981
490.255342,48,112.955217
367.989111,45,113.500459
1213.819281,59,113.609002
301.375028,43,114.141943
5800.2453,78,114.282196
19.69468,16,114.759065
3930.817727,78,114.907292
46.654111,21,115.392926
8595.767135,98,116.003606
1471.86937,60,116.107277
1147.21209,58,116.679881
6650.900223,91,117.286829
5175.552051,75,117.42952
3125.304397,72,118.023697
1083.317603,58,118.582587
7539.008039,94,119.220876
802.949459,55,119.325273
6602.159939,89,120.156344
922.811636,54,120.910208
27.883499,22,120.950222
314.963426,43,121.02393
1518.416494,65,121.602317
155.064212,32,121.66117
5836.436376,104,122.296936
3579.865151,90,122.906334
941.038814,69,123.471945
22.934759,16,123.499954
2564.927395,60,124.033018
847.249834,44,124.110535
208.653637,30,124.161658
5.43548,9,124.177516
7352.993167,84,124.789171
5855.220775,77,125.592777
4150.371451,72,126.441475
1088.112955,47,126.524442
339.562488,35,127.037184
1731.010877,53,127.128074
3.737748,8,127.142726
7.521651,10,127.160398
1777.970676,53,127.694863
17.899394,13,127.7183
3968.692552,68,128.26842
7225.660498,99,128.992012
454.522635,38,129.060123
4218.304942,71,129.62639
4395.878256,71,129.760676
