#{"t_start": 1518152721.6373878, "env_id": null}
r,l,t
-1.587372,12,1.655391
535.603828,78,1.797712
-145.030163,29,2.444427
-216.903862,65,2.571726
-2483.394348,103,3.178834
-8122.463587,128,4.251537
-2.042702,11,4.27117
-1522.310847,63,4.381846
-9647.748163,115,5.444478
-6866.404567,92,5.637132
-6366.652287,95,6.215889
-56.529868,20,6.657938
-131.3024,25,6.704034
-6.776093,10,6.722847
-107.517953,23,6.765078
-25.786095,16,6.794758
-0.846868,5,6.804656
-427.686058,35,7.273437
-1408.955769,54,7.374615
-133.755547,24,7.872585
-3277.572034,64,7.985175
-2182.042917,57,8.527741
-113.422522,23,8.570912
-6539.829259,81,9.156889
-3957.755037,70,9.296252
-250.495063,29,9.794443
-1803.558868,53,9.892412
-1515.459602,51,10.414326
-1529.352356,50,10.510837
-308.734395,31,11.015516
-223.569287,28,11.067893
-6323.228137,84,11.658153
-107.527659,22,11.700019
-3711.842303,66,12.33258
-2570.696549,61,12.448124
-46.60432,17,12.479224
-4.061215,8,12.495202
-3237.682811,65,13.077095
-2049.66096,55,13.745085
-37.82164,16,13.777391
-436.289737,34,13.844092
-620.517823,38,14.539503
-123.542721,23,14.584361
-45.219691,17,14.6157
-4529.974604,74,15.205494
-78.701505,20,15.242404
-46.177187,17,15.273855
-4021.430976,72,15.886402
-11.079671,11,15.907172
-1025.525414,46,15.991939
-1522.026369,60,16.542869
-4888.912543,82,17.142155
-3898.288163,73,17.82626
-125.396114,23,17.871158
-359.507098,32,17.932226
-14.832805,12,17.95586
-1952.515977,72,18.533654
-1942.167713,83,19.121921
-1463.677141,60,19.226126
-2381.180854,72,19.776606
742.277965,46,20.281465
347.744448,77,20.417976
-36.485934,18,20.452687
659.574401,46,21.035345
-73.890148,21,21.075447
544.895416,42,21.599321
-42.062788,18,21.634366
-1004.984888,87,22.221641
1319.150135,53,22.317852
-507.196543,44,22.830283
1471.198614,79,22.981562
-218.895363,33,23.486465
89.525843,22,23.528317
72.376801,20,23.566734
318.468079,90,24.177274
-1760.293461,89,24.778883
188.61835,86,25.366045
2897.180663,81,25.951486
298.402367,34,26.011865
1268.849469,92,26.632026
785.005927,42,26.70544
2586.959279,89,27.46137
506.664255,38,27.960737
1175.230516,86,28.111508
4068.383094,101,28.736639
2604.490836,100,29.359867
1732.893304,75,29.939419
2131.290096,88,30.535917
-8314.815589,134,31.206737
1549.47633,94,31.815916
256.065761,33,32.312279
2309.663704,82,32.815518
1075.211265,48,33.39602
1952.333117,81,33.953453
2165.195799,78,34.546632
2001.388739,71,34.69147
1610.989475,70,35.31155
2122.656579,72,35.866064
2356.705272,75,35.995376
2591.253128,78,36.571678
1306.18452,82,37.169403
1390.929436,51,37.710281
2604.450622,78,37.85361
2960.249232,77,38.429688
2332.495869,73,38.983105
2325.069456,69,39.119316
757.003623,53,39.679861
2595.286675,71,40.539864
600.254772,38,40.606741
1915.394414,75,41.201795
412.127016,53,41.29788
695.291894,40,41.816719
5065.801679,92,42.476334
320.644798,31,42.673249
106.492181,22,42.790078
470.384221,35,43.378821
2587.202082,71,43.502986
290.872504,45,44.032547
320.073996,31,44.089037
2599.970062,70,44.645702
2.620335,7,44.658499
2577.474242,69,45.200093
2502.15049,70,45.363282
510.704359,36,45.89218
980.995664,60,46.005546
877.92214,60,46.702109
37.820663,16,46.816254
499.721241,49,47.159706
464.275488,35,47.723138
148.802664,37,47.788729
327.461274,46,48.300584
436.564467,44,48.379693
92.63473,21,48.418793
920.691841,44,48.963283
47.849145,17,48.994914
464.972949,35,49.055986
1449.186038,66,49.617883
492.142314,59,49.724965
997.465994,67,50.307203
26.841371,14,50.334261
664.927379,58,50.895892
2051.281305,65,51.014241
532.705946,71,51.582075
1861.196376,74,52.210469
3487.136638,91,52.931608
1201.211118,57,53.05024
4.494346,8,53.488996
469.638687,37,53.55754
2166.760326,84,54.270627
1746.787975,68,54.40033
1501.288398,59,55.025464
593.571924,39,55.101724
1466.254471,64,55.678034
1237.214735,65,56.423575
415.355917,35,56.588591
237.058868,29,56.677385
42.722502,17,56.729815
314.735631,46,57.257908
565.805013,39,57.330858
1611.75159,73,58.167687
2251.022871,79,58.963272
1874.125699,76,59.559766
1642.263126,79,59.709316
56.187379,18,60.167355
952.51991,48,60.254799
1126.636333,66,60.855614
1282.829414,57,60.992676
1728.168838,78,61.631779
1170.666389,75,62.200155
1362.071635,76,62.794789
1158.692691,54,62.896026
1502.089786,65,63.449823
3750.893543,87,64.054493
1595.041429,72,64.182359
1529.332116,58,64.725538
2158.705859,82,65.303246
1363.450981,61,65.411257
1208.247753,58,65.973009
64.041033,19,66.00871
15.791183,13,66.033682
12.277801,12,66.057472
2554.695565,87,66.693084
2142.189508,83,67.322075
81.345393,20,67.358132
480.726071,68,68.063995
283.032348,61,68.651502
2271.742984,79,68.862159
1504.063641,78,69.46709
1352.461547,70,70.058122
174.580063,26,70.105633
510.857665,63,70.668364
5048.157847,90,71.248916
1333.606327,73,71.370919
842.822097,69,71.936806
1289.339362,71,72.600674
1281.563712,59,73.016367
1240.747988,73,73.698452
2084.95081,79,74.29792
2081.864217,80,74.890244
953.768501,71,75.021854
5.887751,8,75.037487
1847.472886,77,75.632206
1040.419323,75,76.20239
199.148609,76,76.7738
1143.920637,56,76.877176
1576.948019,75,77.45399
1072.329514,72,78.015967
248.638429,29,78.068585
2.206669,6,78.080208
1772.746445,75,78.660972
2155.660199,79,79.242461
1.600111,5,79.252869
1911.678199,77,79.391262
3130.989462,85,79.976108
2602.783268,78,80.537074
2407.248008,74,81.238321
11.626102,10,81.25702
1898.409032,74,81.830383
1783.650116,74,81.963838
1438.495811,60,82.503188
2244.333444,80,83.0985
2340.339885,75,83.675152
3441.032421,76,83.814499
1885.41532,73,84.382088
2928.858355,79,84.964482
1949.348605,63,85.083554
1863.103765,66,85.630434
1420.459827,69,86.200789
2172.750223,75,86.75528
1508.633877,69,86.878508
3872.339303,78,87.458002
3145.26686,89,88.053023
2544.38621,68,88.587005
1435.414806,71,88.711802
1739.891524,62,89.244762
3.746809,7,89.258234
1005.152953,53,89.79519
2487.813287,63,89.90991
1246.804624,82,90.482711
1882.130785,73,91.04846
2019.262022,79,91.63981
2254.014944,73,91.768007
561.811343,55,92.283295
2418.604176,73,92.858651
2143.712178,80,93.008617
1993.477555,60,93.693133
2855.388247,74,94.266741
184.289207,26,94.313002
1534.830846,57,94.852563
3664.766492,84,95.417893
3109.876653,75,96.089134
3283.195735,76,96.667475
1804.957437,75,97.238559
3196.140212,75,97.369562
2628.402841,75,97.955124
2595.963037,77,98.549154
3018.879407,73,99.102097
1230.607942,51,99.194687
189.543592,81,99.77423
2763.303346,76,100.351604
2231.713986,75,100.48838
1273.912006,60,101.053458
1556.070869,67,101.619744
1348.543144,63,101.727103
118.769959,22,102.181726
2678.226744,75,102.318017
1129.547566,73,102.908283
881.158047,63,103.509663
3008.193243,81,103.654144
3331.367455,69,104.235029
2539.456109,83,104.824148
936.122535,77,105.41473
3204.48166,78,105.990249
2930.380114,73,106.119767
2235.106832,80,106.806183
199.782217,27,106.851004
1137.756617,75,107.381107
723.306445,62,107.915398
2610.097995,82,108.496599
152.257117,24,108.547284
1654.020409,83,109.137922
3153.114187,68,109.259119
1260.852052,85,109.857324
3150.156315,75,110.39859
3150.362181,84,110.96682
2725.586942,77,111.54394
1695.658975,67,111.665869
566.574311,40,112.159034
2878.58742,80,112.30501
1046.970528,81,112.90748
2729.594393,74,113.486148
2284.103038,72,114.066015
695.746846,84,114.217232
2526.837688,76,114.803707
2892.35803,82,115.365925
2967.58497,74,115.952541
1522.014646,83,116.529724
0.718953,4,116.538073
1177.945135,76,116.682818
1653.987369,74,117.25572
3021.062266,76,117.839727
867.259944,75,118.42504
2757.176471,83,119.203172
1557.881198,79,119.345867
1365.806818,71,119.895093
1214.280713,84,120.465346
2423.04876,73,121.020214
1840.19973,74,121.146604
3680.991019,85,121.73255
2978.588645,83,122.275952
1647.146276,77,122.825403
-3651.031252,130,123.477947
3137.561693,81,124.070658
1494.395344,84,124.656849
1244.175764,73,124.780214
3375.612158,77,125.372053
2718.936279,85,125.98826
2590.794121,82,126.543927
52.469052,86,127.136768
2402.915639,80,127.721236
0,1,127.724101
129.308012,24,127.768962
2465.644361,74,128.341285
1855.172396,85,128.498103
1860.647149,74,129.08655
943.688021,59,129.645216
956.381271,83,130.246328
1521.536418,65,130.369136
3235.980327,78,130.963213
1988.098295,80,131.669387
600.13259,42,131.743444
3041.889231,76,132.346859
1.463891,5,132.359806
328.573766,33,132.423052
1662.610157,71,132.99206
3004.35465,80,133.573879
2490.478801,77,134.508934
3148.19138,86,134.664935
2784.040544,79,135.253326
3166.198969,84,135.852351
1550.208037,77,136.433806
2161.451154,83,137.033053
225.245822,29,137.084669
3446.06735,79,137.644656
1782.355466,82,138.245704
3666.876825,78,138.389034
108.291637,22,138.880768
530.984519,84,139.035084
2851.459048,75,139.617597
195.598022,88,140.201564
2063.083691,72,140.778062
5380.465653,96,141.391672
192.281294,27,141.442008
149.462778,24,141.490551
2245.270045,89,142.10581
5068.513743,90,142.716765
3514.4096,80,143.305881
2716.018821,90,143.91373
3062.008513,80,144.618909
3098.105259,77,145.125607
9.507531,10,145.198844
2866.770044,81,145.852336
2886.683624,66,146.423772
2188.80982,77,146.995429
36.102914,15,147.024418
1847.635741,80,147.588689
2582.754762,74,147.719239
1808.830301,79,148.315595
2011.583712,67,148.871518
1707.918937,84,149.459321
2661.865077,71,149.58581
1121.325715,59,150.15001
190.493149,27,150.19852
3021.715097,86,150.794379
2146.405233,72,151.370528
3689.158095,96,151.999088
3147.443303,80,152.580487
1846.244572,84,152.735839
1873.682816,83,153.314011
1032.004161,74,153.899363
3703.062864,83,154.509719
1389.824691,69,155.107007
3547.824218,88,155.270258
988.759828,82,155.8742
4629.402962,94,156.476352
2588.528386,82,157.063187
3675.00906,86,157.807297
3253.96783,88,158.397794
2013.875068,81,159.008571
17.766454,12,159.03218
3762.522335,83,159.181167
3293.707437,84,159.793476
4021.252426,95,160.429553
2477.808224,80,161.026649
1918.500152,84,161.664874
2190.809536,83,162.275722
3388.760322,76,162.419271
33.737327,15,162.870977
3489.183799,83,163.020344
4169.828853,87,163.617391
49.702303,17,164.080089
3818.478416,80,164.221918
4387.684471,88,164.819818
3226.804703,95,165.427866
62.866846,18,165.460926
3593.994158,83,166.050019
