#{"t_start": 1519405815.8183258, "env_id": null}
r,l,t
-713.074331,116,2.813159
-1080.373566,129,3.920191
-4032.296613,164,5.48454
-1109.29826,180,6.957091
-432.525015,58,7.696429
-6240.751126,201,9.518399
3430.830182,174,11.263194
-253.254019,51,11.368071
451.395141,145,12.866818
-364.167379,92,14.114708
-8382.127554,232,16.262242
-427.275521,106,17.10112
3169.005844,140,17.959645
4259.285475,175,19.465005
2572.772314,151,21.13061
1613.99227,127,21.910988
1733.861727,144,22.744459
2668.520638,125,24.259514
3262.09511,144,25.107697
1549.289817,159,26.937959
1324.407249,290,29.648365
4970.938643,154,30.541741
1623.725053,193,32.246858
3365.860879,178,34.373374
4157.189586,152,35.464894
3728.471396,200,37.192796
4408.868228,172,39.115042
1440.985799,98,39.962735
1285.219961,104,40.785868
2349.488749,115,41.878246
-425.927072,189,44.14483
190.308947,67,45.246243
2149.923385,168,46.617933
-392.996084,147,48.538316
-1794.087866,282,51.112114
-481.745851,129,51.908674
-1976.047009,145,52.747565
152.193846,152,54.237254
213.938151,210,55.775783
6264.865007,209,57.43167
-2858.705385,162,59.338956
-50,1,59.344208
-2983.162136,169,60.612701
1656.223322,171,62.641527
175.545896,105,63.815448
4030.049286,213,66.070357
-4256.543726,222,69.09893
-689.998373,109,70.080262
1624.864902,152,71.205755
-5112.877236,453,75.139021
2243.021419,186,76.800874
57.920726,146,77.952692
1371.99799,112,78.932784
4196.811627,231,80.538379
606.704807,192,82.05637
343.785952,120,84.240686
201.064845,139,85.157063
3515.80915,192,86.942166
4175.227661,234,88.80779
1873.315062,128,90.465472
1154.309341,169,91.477158
3460.026731,151,93.171509
-5576.200513,245,95.029297
1059.304663,151,96.49851
-8853.851295,228,98.06378
-10047.047205,386,101.110378
-1237.148539,168,102.592392
-4962.197441,266,104.287929
-547.304359,259,106.466429
2856.343548,168,107.759996
5328.703723,173,110.158112
2285.184081,175,112.234712
1230.636566,166,114.213263
2088.204849,161,115.253108
-1184.590706,197,117.527884
3018.767666,154,119.52475
-9412.123435,280,121.926353
98.803429,141,122.771816
-280.862003,123,123.578696
799.973177,139,125.32496
2908.486335,191,126.763184
453.238227,299,129.993756
-7680.258849,374,133.941017
5055.619702,233,137.253436
3088.099254,182,138.656514
-1517.374937,320,142.262873
-1423.411703,200,144.311586
1349.927021,117,145.472224
1599.929287,264,147.566896
1363.401405,145,149.09386
4823.143877,213,150.867494
2613.084958,152,151.729613
2831.316273,194,153.457637
2907.147192,202,155.692147
-3891.863585,326,159.881513
-7228.201827,1095,171.845407
158.064055,306,174.800425
3476.840515,135,175.628319
676.646732,128,176.966583
596.516117,112,178.168423
552.006323,146,179.955111
2814.559861,129,180.898589
1624.692164,116,181.83305
-1383.698624,395,185.453962
1757.829817,151,187.161957
775.565171,273,189.82071
1481.252842,141,190.927449
1201.054553,146,191.905368
575.647068,119,194.056409
2465.50562,169,195.096676
2565.428193,111,196.026337
61.334007,88,196.931085
2340.679436,162,198.441077
2384.715727,204,200.001254
1618.873869,144,201.05231
293.3979,153,203.388352
1134.787189,195,205.199934
3490.646787,139,206.104546
4014.60549,193,207.628685
-209.424203,135,209.426582
6820.256152,193,210.325236
1347.921206,155,211.798644
567.601167,327,214.34603
6422.744,206,216.043025
2700.393711,171,217.569332
2784.538594,132,218.394101
-5365.845666,484,222.714954
-10908.731796,537,228.52891
2124.260151,144,229.904274
4097.707448,141,230.883682
3223.51955,166,232.404089
3275.12437,156,233.881507
-511.400041,97,234.831747
950.666026,139,236.089989
40.226055,191,237.862112
2652.927493,161,239.599
3136.433784,145,240.561382
2410.796784,138,241.415004
1125.723683,157,243.047642
3556.255999,217,246.065635
1246.431239,173,247.627212
3940.939048,144,248.500322
-495.026243,155,250.359746
1339.053258,167,251.795956
171.395997,129,253.684864
1728.623063,131,254.666308
-10927.342251,455,259.865982
766.558589,220,261.810712
-191.322294,224,263.725182
-10683.55104,425,267.796957
3279.541042,151,270.134865
437.623126,242,272.226659
-1353.350157,177,274.106242
3629.949663,192,276.425437
1614.840463,137,277.560848
3366.873639,210,280.132878
2061.663549,181,282.356186
-6303.023962,314,285.558259
3154.966424,164,287.79445
2843.907219,157,290.147247
293.755438,199,292.709409
-2100.958373,293,295.408964
1621.579552,127,297.661794
454.04661,226,300.291097
2307.531367,144,301.844496
-8135.971018,417,306.929745
1331.487379,267,308.864658
1857.267452,138,311.060184
