#{"env_id": null, "t_start": 1520322662.9487426}
r,l,t
-632.030682,95,2.340328
-7968.673309,771,14.765107
-1493.129581,199,17.718325
-2547.056336,238,22.001875
-593.885493,167,23.615361
-1295.685493,204,26.540883
-1710.169726,244,30.828896
-1273.884672,113,32.575637
-1505.794624,138,33.871476
-33.546699,265,37.474025
-707.793168,98,38.683411
-1481.120179,185,41.093679
-463.865054,126,42.381845
-924.827117,242,44.93689
-1057.057393,125,47.379516
-682.311823,92,48.874448
-382.027662,201,51.567142
-590.035176,138,52.972037
-1442.544909,123,54.353395
-3639.522334,295,58.514095
-603.695811,288,62.202975
-292.19945,211,64.673228
-445.668354,232,67.198269
-365.088652,173,69.613477
-516.774746,137,70.906419
-298.759096,130,73.247881
-394.934593,149,74.578522
126.500988,142,76.941208
-2661.705838,374,80.755187
20.754838,162,83.340416
-799.349466,206,85.831107
-1514.709236,160,88.237223
428.139886,276,90.806834
-1056.043416,147,93.164821
-1688.100697,166,95.596786
-1140.906748,220,98.126926
-2066.974107,278,101.715602
-1375.495691,176,103.07664
-3180.201285,300,106.758237
378.912452,284,111.41947
-704.375981,140,113.910683
-2564.526065,263,116.488003
-2235.819425,195,118.947996
-148.609473,151,121.33321
-868.331087,123,122.593618
-382.49808,131,123.843925
-7846.484975,411,128.812367
-46.234405,166,131.240129
-389.981579,105,132.498353
-238.62961,121,134.010116
182.314356,135,136.360885
-525.269691,185,137.755256
-912.49365,270,141.416069
-1233.597793,138,143.772706
-265.667745,181,145.169059
181.628351,267,149.200918
-1871.780922,247,152.153954
-2408.807051,227,156.000988
-1031.168357,195,158.656054
-479.597426,198,161.404276
-276.985353,130,162.881993
-204.549621,139,164.492357
-551.405374,196,167.299998
-540.98319,102,168.640666
-587.705489,214,171.284851
-2301.578288,276,174.966662
-643.146427,298,178.683836
-526.675911,253,182.325658
-373.339284,122,183.613542
-1540.441403,142,184.9425
-2755.270955,350,190.067067
-300.429454,147,191.933397
-399.977936,151,195.019342
-1121.71553,148,196.625926
-1307.723712,182,199.408854
-1305.913973,160,202.016294
-814.107395,149,203.478115
-60.881159,102,204.841388
2.802708,188,207.529005
-2105.779817,324,211.62797
-1523.024506,172,214.411731
16.0731,144,216.739635
-190.892747,133,218.046964
-708.113622,124,219.506227
-1108.220035,257,224.048938
-1753.516643,299,228.313714
-245.810927,99,229.562604
-473.917705,186,232.007924
-1567.63932,318,235.759909
-968.751899,187,238.604063
-1114.995801,141,240.349154
-848.283847,206,243.927063
-278.77123,65,245.444422
-181.994998,47,245.555846
35.672994,319,249.50839
-2145.801411,216,253.037954
-711.813526,145,254.37098
-5479.457762,372,259.278124
-340.643342,99,260.507198
-2115.955505,223,262.985542
-1006.58987,326,266.746211
-339.549606,215,269.49323
-387.193946,119,271.795239
-7294.880841,392,276.286726
-661.294157,151,279.474342
-1567.866166,151,281.097837
-113.427773,133,283.666022
-870.500275,231,286.328327
-3829.530722,306,290.356517
-1882.270287,187,293.009562
194.107191,146,295.860768
-2506.405428,301,299.755622
-951.262853,131,301.161796
-93.819187,172,303.697961
-96.455673,151,305.524597
-147.873981,193,308.563459
-2950.423136,219,311.2429
147.763725,144,313.688681
-284.402715,141,315.027632
-4007.550268,316,318.806198
51.209527,60,319.973664
-1297.544622,163,321.341018
-155.385933,65,322.76983
-2017.210705,301,326.534736
-848.99219,312,330.35805
-1863.807949,286,334.061052
-956.208894,201,336.581751
-1060.678989,163,339.015017
-287.254403,177,340.430197
-585.345619,120,342.777868
-2250.06648,320,346.603642
-1898.075017,159,348.24703
-1153.214805,148,350.678472
-4697.653558,346,354.558935
-2569.183651,283,358.396802
777.95895,145,360.87936
-296.213866,150,362.23215
-612.558263,121,364.121816
-1818.038728,237,367.89025
-2341.337971,350,371.74851
-986.011758,180,375.754517
-399.552366,160,378.216179
-926.284932,214,380.771484
30.726136,146,382.137374
-1159.286161,178,384.647916
-111.488047,68,385.867718
-3719.493794,329,389.731319
-571.702963,126,391.042255
-4261.365246,341,396.04989
-2003.015136,177,397.469986
-1944.680851,258,401.404943
-4178.265446,363,406.47324
-4065.605523,284,409.951463
-549.762414,192,413.226955
-190.798571,121,416.133287
828.89616,175,417.75094
-1307.239342,156,420.320015
-275.185473,174,423.481742
270.513488,163,425.16672
591.558823,191,427.701551
-878.60606,145,430.395357
1034.469192,249,433.070126
-752.385941,135,435.507557
-1949.00149,344,440.067629
-858.413394,118,441.407369
-372.511875,184,444.106805
469.560549,135,445.522814
-754.692169,153,448.103217
-85.587563,134,449.446139
-374.550063,349,455.365125
-99.545694,103,456.676675
-1210.91822,135,458.333774
192.20472,168,460.83484
-1246.206901,129,462.174264
-1297.559993,166,465.242528
-162.392103,158,467.065194
-466.966335,171,469.616463
-604.423653,306,473.431864
-495.391969,204,476.042275
-371.290359,100,477.338789
-338.508516,173,479.840472
-119.671527,162,481.55418
-557.182215,142,484.802752
-560.030069,201,487.672588
-649.651034,129,489.011833
1279.783892,207,491.605468
-1187.472583,119,493.612436
-1024.050339,214,498.4909
1618.605017,243,501.214319
-1803.715309,161,503.695681
-1081.523939,263,506.386875
-3129.429285,289,510.240227
-1251.542225,158,512.749795
1159.357577,163,514.494328
-335.502916,140,517.095739
-421.728654,146,518.452009
-2517.573041,225,521.082296
0,1,521.088126
-1123.471089,421,527.383315
-72.114289,39,527.456904
-589.139555,147,529.911879
-77.080412,196,531.389903
-741.796759,328,536.418399
-547.788321,140,537.794894
799.297278,202,540.660755
-1042.426982,159,543.155428
2054.774379,281,547.001401
-2320.173309,247,549.711737
-340.21581,135,551.084405
-2928.780207,306,554.926203
458.235996,193,557.922458
-63.102614,204,560.519151
-3.910911,12,561.647992
-63.032674,89,561.815234
-637.517457,283,565.659494
-1052.263372,151,568.954393
-437.024838,310,572.980141
-668.058449,169,575.62377
-1961.407817,157,577.080112
-517.096327,163,579.65984
-2095.205797,175,582.200322
-255.517747,165,583.613773
-2213.805357,266,587.414094
-196.464811,257,590.554453
-2046.256276,200,593.590136
478.849419,322,599.286914
185.171647,134,600.714653
-689.372521,182,604.269598
-1161.524132,190,607.261693
-1434.508639,168,608.720927
279.74508,133,611.182955
-521.877258,136,612.546665
222.098342,148,615.041441
-1141.977198,125,616.396202
-181.68107,159,617.89163
-390.416542,133,620.453242
-2364.251223,172,621.942622
-3596.856725,245,626.012976
-2208.445396,157,627.432671
-715.485388,144,629.912785
713.520771,159,631.32549
230.512989,141,633.84115
16.430425,214,636.490697
-1224.058384,159,639.047239
-237.128162,165,640.811687
-1161.471951,164,643.738761
-1225.762401,146,645.115685
-869.491196,306,650.374427
-2355.443801,402,655.88466
-124.147338,95,657.161955
-366.107848,166,659.704143
-560.992585,154,662.637914
-127.803459,80,662.78964
-1714.677298,327,667.885846
-989.51483,167,669.324949
-1183.438586,327,675.222689
105.022903,277,677.945604
-173.055238,94,679.507172
-6.841223,151,681.966757
-4434.939718,334,685.900383
-148.222713,130,687.234979
-70.357923,162,689.720717
746.626685,249,693.510078
349.64831,156,694.920057
-908.350267,167,697.499897
-46.992413,49,697.595013
