rollout/return,rollout/episode_steps,param_noise_stddev,train/loss_critic,train/loss_actor,reference_perturbed_action_std,AI_success_rate,AI_distance,total/epochs,reference_Q_std,train/param_noise_distance,total/duration,total/episodes,reference_Q_mean,obs_rms_std,rollout/episodes,rollout/Q_mean,reference_perturbed_action_mean,total/steps,reference_action_std,obs_rms_mean,total/steps_per_second,AI_return,rollout/actions_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/return_history,rollout/actions_mean,reference_action_mean
-810.602006576181,66.33333333333333,0.13703067339030664,187.9707489013672,88.1479721069336,0.9133612513542175,,11.789627935215842,1,36.81694793701172,0.35959220386634116,29.245269536972046,30.0,-85.47160339355469,0.13610930740833282,30.0,-45.61042022705078,0.10319699347019196,2000,0.9999929070472717,nan,68.38712830023974,-810.602006576181,0.8731863498687744,-83.5873031616211,36.59845733642578,-810.602006576181,-0.009459814056754112,4.523200914263725e-06
-656.4131278341961,65.01639344262296,0.010517278057089798,262.0938415527344,136.45899963378906,0.9176985621452332,,11.857176436369183,2,74.17090606689453,0.22519862215965986,56.53997993469238,61.0,-145.0234375,0.13135550916194916,61.0,-72.73218536376953,0.3891356587409973,4000,0.9362636804580688,nan,70.746399355293,-656.4131278341961,0.9133808016777039,-139.1722412109375,72.45111846923828,-656.4131278341961,0.07855153828859329,0.33433276414871216
-628.9998924777163,63.361702127659576,0.006654572515946094,241.94857788085938,145.93276977539062,0.904824435710907,,12.716016948374458,3,69.1463623046875,0.20603012263774872,83.87021923065186,94.0,-150.44622802734375,0.13017453253269196,94.0,-90.59819030761719,0.3491170406341553,6000,0.8151040077209473,nan,71.53909999328097,-628.9998924777163,0.9020297527313232,-144.61602783203125,66.37419128417969,-628.9998924777163,0.18625512719154358,0.48931950330734253
-611.8381994938667,66.94117647058823,0.0062689083313006155,418.5904235839844,168.49957275390625,0.8043045401573181,,12.766342933169652,4,68.50995635986328,0.1914359699189663,111.00653576850891,119.0,-173.16839599609375,0.12776033580303192,119.0,-105.5904312133789,0.4743753671646118,8000,0.8167977929115295,nan,72.06782866085526,-611.8381994938667,0.8673283457756042,-166.8745574951172,68.04290008544922,-581.8333962745282,0.2984696328639984,0.4811856746673584
-605.8744984929978,69.83098591549296,0.00795985011672278,260.6226501464844,176.03883361816406,0.8165035247802734,,12.790252076705796,5,70.98788452148438,0.18023850426077842,137.5555136203766,142.0,-186.7892608642578,0.12454221397638321,142.0,-116.48729705810547,0.5281100869178772,10000,0.7531816959381104,nan,72.69792200113355,-605.8744984929978,0.8260310292243958,-179.88479614257812,70.35734558105469,-543.6192739003765,0.39563503861427307,0.5692149996757507
-610.7364154358669,70.75147928994083,0.007803009623294559,544.6292114257812,187.54013061523438,0.7862176895141602,,12.91396116954711,6,67.819091796875,0.19507077544927598,163.41049551963806,169.0,-193.7138671875,0.12363093346357346,169.0,-126.69214630126953,0.5655588507652283,12000,0.7953800559043884,nan,73.4346956224601,-610.7364154358669,0.7982479333877563,-189.04550170898438,67.06415557861328,-594.3647999746279,0.46178629994392395,0.5470998883247375
-590.790792756699,71.09693877551021,0.007498538875796335,366.4185485839844,179.61148071289062,0.9366319179534912,,12.959258181297757,7,62.38093948364258,0.22240085884928704,190.293354511261,196.0,-208.0470733642578,0.12562136352062225,196.0,-135.9772186279297,0.2881629765033722,14000,0.9168351888656616,nan,73.57061961494574,-590.790792756699,0.783196747303009,-203.07904052734375,63.36307144165039,-557.4289947006063,0.49738261103630066,0.327348530292511
-575.3756959589015,70.36283185840708,0.004839897909672315,338.8109436035156,168.16090393066406,0.7477428913116455,,13.264847904723213,8,63.15876388549805,0.20304716467857362,220.32999873161316,226.0,-210.3748779296875,0.13109861314296722,226.0,-141.8523406982422,0.5846537351608276,16000,0.7952783107757568,nan,72.6183456275049,-575.3756959589015,0.7936224341392517,-204.72775268554688,64.17333221435547,-510.5318015390045,0.4854172468185425,0.5427444577217102
-564.9263280560551,70.69685039370079,0.0044695645181095965,251.89515686035156,166.59979248046875,0.7943199276924133,,13.204526420223706,9,57.67567825317383,0.2021917237341404,247.26858973503113,254.0,-222.1065673828125,0.13083681464195251,254.0,-142.22064208984375,0.5331788063049316,18000,0.8257852792739868,nan,72.79533570878735,-564.9263280560551,0.7798241972923279,-214.77378845214844,57.60938262939453,-472.0862420355698,0.5077260136604309,0.5019681453704834
-556.4045222090923,72.69818181818182,0.0038883556208891092,178.67173767089844,165.1447296142578,0.7878791093826294,,12.955143290363528,10,56.91496658325195,0.20535106644034384,274.8114709854126,275.0,-223.19715881347656,0.13079680502414703,275.0,-139.0238800048828,0.5384896397590637,20000,0.7685105204582214,nan,72.77716584494986,-556.4045222090923,0.7683182954788208,-216.51010131835938,56.28603744506836,-465.8494070814393,0.5243952870368958,0.5750022530555725
