#{"t_start": 1519262076.8655603, "env_id": null}
r,l,t
-1592.433002,188,6.848924
-9591.091114,308,14.746383
-8915.469322,303,22.634805
4570.301693,265,30.377291
-6567.019525,266,38.090379
4619.752972,161,40.863266
34.668211,136,45.897922
-44.453287,137,48.586287
648.951969,83,51.231848
859.436114,120,53.909305
305.274775,328,62.41021
-1091.758293,199,67.640133
-506.035486,192,73.023278
-737.38431,92,75.612699
1854.927381,180,80.811635
-611.766742,179,86.130208
-2399.214373,229,91.534284
-2759.176961,165,96.775949
-2105.455409,152,99.631906
418.238339,142,105.009384
-1321.494013,177,110.755467
-3211.144451,181,113.599367
-1145.044618,164,118.81456
916.169248,156,124.027963
546.355629,81,124.220425
-663.759949,154,129.526375
1331.428025,163,134.928164
2780.844365,206,140.236807
462.661993,79,140.434174
3171.419415,192,145.779843
422.139949,78,148.381537
180.38862,57,150.924267
4442.513852,197,156.264996
1906.214002,120,158.979154
4208.877373,189,164.768457
1686.338916,123,167.539889
2221.710237,131,170.345622
-1317.222036,210,175.847697
5095.637992,207,181.47591
2458.715872,164,186.646622
4638.999725,162,191.795532
-45.389457,36,191.883271
1192.430673,126,194.588813
2364.600507,151,199.725693
1771.747497,193,204.915096
714.153064,291,212.675123
7.782335,34,212.764974
557.21043,192,218.653455
-7391.647413,273,226.497447
-400.99548,163,229.298098
2770.056281,180,234.559429
3823.681482,158,239.672414
1310.356366,134,242.46622
1203.890064,129,245.306736
495.20288,96,248.093021
1818.112431,148,253.398108
2554.51311,151,256.084881
3491.984641,168,261.139373
2784.801437,153,263.795347
-107.445518,171,268.921109
590.901,170,274.487476
-52.061925,149,277.239908
4437.468196,177,282.347419
3436.401587,177,287.46101
4648.904601,198,292.58563
1723.653823,157,295.304037
1306.400817,137,300.317626
2096.291156,130,302.968336
4125.47257,154,308.020704
3800.962213,165,310.765775
423.162788,139,315.769272
1556.892833,197,320.906289
2578.946308,201,326.401834
4715.041935,169,329.13289
4975.335098,178,334.249326
593.65572,89,336.801863
3691.46354,168,341.946211
150.818744,253,347.220237
893.113513,134,352.200202
4870.339973,219,357.409665
-59.092313,179,362.517997
4393.255052,187,365.318912
2740.533161,149,370.366239
2044.722878,141,373.080163
3890.016681,167,378.622238
-1749.05858,232,383.845379
3418.787706,194,388.997837
2151.977306,162,394.302371
3572.716226,222,399.521475
604.149931,231,404.732193
1066.963571,178,409.79089
-159.081693,89,412.32658
5355.766483,214,417.549749
-4353.671797,184,422.661742
1858.055548,128,425.306347
175.030083,54,428.233653
