reference_actor_Q_mean,reference_actor_Q_std,reference_Q_mean,reference_perturbed_action_mean,reference_action_mean,AI_return,rollout/Q_mean,rollout/actions_std,param_noise_stddev,reference_perturbed_action_std,total/episodes,total/epochs,obs_rms_std,reference_Q_std,total/duration,AI_success_rate,obs_rms_mean,train/loss_actor,rollout/return,AI_distance,rollout/episodes,train/param_noise_distance,reference_action_std,rollout/return_history,rollout/actions_mean,train/loss_critic,total/steps_per_second,total/steps,rollout/episode_steps
-29.21923828125,165.8093719482422,-35.53880310058594,0.47064292430877686,0.44539812207221985,467.37470195553794,14.032367706298828,0.8955599665641785,0.042354122225875736,0.8707885146141052,11.0,1,0.2274589091539383,172.9871368408203,18.227612495422363,,0.4517526626586914,5.695289134979248,467.37470195553794,12.261499131473068,11.0,0.19013080025091766,0.8950625658035278,467.37470195553794,0.3164677619934082,245.65399169921875,109.7236404659291,2000,171.72727272727272
28.63566780090332,312.64520263671875,20.552059173583984,0.4912639856338501,0.4437098503112793,2241.881783352796,65.21421813964844,0.8855275511741638,0.04495975420378478,0.8626236915588379,23.0,2,0.2565678358078003,321.84906005859375,36.071640491485596,,0.5022537708282471,-126.61939239501953,2241.881783352796,10.371688580433405,23.0,0.2160530072450638,0.8919335603713989,2241.881783352796,0.39003369212150574,522.1699829101562,110.89043762631661,4000,172.95652173913044
163.45364379882812,445.8599548339844,152.60006713867188,0.39604640007019043,0.3534567654132843,2212.686512472893,122.87308502197266,0.8845223188400269,0.018730226766195082,0.8827137351036072,35.0,3,0.24719680845737457,455.0718688964844,55.366093158721924,,0.49613943696022034,-302.26483154296875,2212.686512472893,9.901594249937135,35.0,0.20373262986540794,0.9013830423355103,2212.686512472893,0.38532543182373047,1645.038330078125,108.3695752705428,6000,170.4
239.4652099609375,556.3628540039062,227.8543701171875,0.4207160174846649,0.37965184450149536,2352.9617225156926,199.96852111816406,0.8808234930038452,0.0211056883401964,0.8795197606086731,46.0,4,0.2354932427406311,566.6142578125,75.87435007095337,,0.4942183494567871,-437.0481262207031,2352.9617225156926,9.614142222179135,46.0,0.19676159583032132,0.9093469977378845,2352.9617225156926,0.3882352411746979,3141.16064453125,105.43747646627425,8000,169.47826086956522
314.1878662109375,705.109130859375,305.8291931152344,0.6846750378608704,0.6211814880371094,2178.6412153349756,238.83059692382812,0.874664843082428,0.0252455158307554,0.6894466876983643,58.0,5,0.22518466413021088,710.18212890625,93.9953088760376,,0.49460569024086,-536.7404174804688,2178.6412153349756,9.741475812440736,58.0,0.2040077739953995,0.7287004590034485,2178.6412153349756,0.4039832055568695,772.7782592773438,106.3882880919956,10000,172.25862068965517
397.44561767578125,821.709716796875,383.28790283203125,0.45495474338531494,0.4088385999202728,2177.3588511575294,301.0754089355469,0.868842601776123,0.0247480794341294,0.8646506071090698,69.0,6,0.22102248668670654,829.5604858398438,113.45825386047363,,0.5025665163993835,-663.817138671875,2177.3588511575294,9.89636368704688,69.0,0.21210348680615426,0.8738338947296143,2177.3588511575294,0.42222875356674194,2732.329345703125,105.7657736805743,12000,172.1304347826087
450.00372314453125,936.0803833007812,436.0234375,0.3998349905014038,0.4557170867919922,2444.191273636403,385.33978271484375,0.8677980303764343,0.014751292160020392,0.84688401222229,79.0,7,0.21771498024463654,940.9812622070312,133.66480660438538,0.012658227848101266,0.5018408894538879,-774.5870361328125,2444.191273636403,9.343657822050634,79.0,0.20786677360534667,0.8015409111976624,2444.191273636403,0.4139980375766754,1717.5201416015625,104.73961213617375,14000,176.55696202531647
567.0700073242188,1045.6722412109375,552.31005859375,0.41396376490592957,0.43159157037734985,2394.7619390554173,447.83843994140625,0.8682610392570496,0.011388705069074755,0.7946385145187378,88.0,8,0.2177647203207016,1049.5899658203125,154.3776500225067,0.011363636363636364,0.5013206601142883,-903.5484619140625,2394.7619390554173,9.359945258262792,88.0,0.19817862614989282,0.7905437350273132,2394.7619390554173,0.4023258686065674,3602.806640625,103.64194556444771,16000,180.22727272727272
672.1807861328125,1162.632080078125,655.496826171875,0.4318976402282715,0.5814267992973328,2153.467766968416,468.146728515625,0.8699992299079895,0.01208933992007461,0.7900182008743286,98.0,9,0.22021205723285675,1168.037109375,172.1529040336609,0.01020408163265306,0.4932725131511688,-974.337158203125,2153.467766968416,9.567699510494952,98.0,0.2027386900782585,0.70716392993927,2153.467766968416,0.3917979300022125,4074.6357421875,104.55821295050868,18000,182.62244897959184
750.02197265625,1224.643310546875,734.7294921875,0.5447319746017456,0.4802401065826416,2045.2865471523914,509.0780029296875,0.8622576594352722,0.0156587938752642,0.7596898078918457,112.0,10,0.220328226685524,1233.447509765625,191.03576588630676,0.008928571428571428,0.4924699068069458,-1056.9691162109375,2045.2865471523914,9.701296124406337,112.0,0.18396707952022553,0.8207477927207947,2187.2445217913555,0.4031583070755005,2038.5654296875,104.6924376030341,20000,176.71428571428572
761.8523559570312,1306.42919921875,748.0736083984375,0.41639184951782227,0.4058915674686432,2109.028887019083,564.7474365234375,0.8612692356109619,0.014175701821503062,0.8493495583534241,122.0,11,0.2186679095029831,1311.6826171875,210.48577737808228,0.00819672131147541,0.4900640547275543,-1026.79052734375,2109.028887019083,9.57585807732351,122.0,0.19001724258065222,0.8262366056442261,2109.4570902128717,0.40002956986427307,3001.188232421875,104.52012612939065,22000,179.34426229508196
777.9708862304688,1348.1552734375,759.9625854492188,0.44970226287841797,0.3973708152770996,2131.8779468854777,608.9451904296875,0.8584809303283691,0.014751292160020392,0.8344735503196716,132.0,12,0.21651935577392578,1356.488037109375,227.8885440826416,0.015151515151515152,0.4853077232837677,-1071.2874755859375,2131.8779468854777,9.375300870981302,132.0,0.21233439058065415,0.8378899693489075,2142.989380883472,0.3973008990287781,6277.65869140625,105.31464008693929,24000,181.6060606060606
