#{"env_id": null, "t_start": 1521572208.8020394}
r,l,t
-1337.098203,85,2.361549
-675.62151,60,3.747512
-444.846973,49,3.853975
6676.081396,214,7.402076
-158.392684,178,8.730917
316.130209,85,9.905205
-895.597219,45,10.994776
-1477.640616,92,12.197673
-1069.749277,91,12.357831
-634.466921,120,14.607177
-469.44981,28,14.658683
-428.653423,81,15.844188
-513.099995,57,15.943086
-476.834585,30,17.009606
-555.721984,79,17.153064
-453.052477,67,18.307
-639.015079,33,18.370625
448.584657,78,19.539043
-133.248283,81,20.729618
-420.621909,81,21.918614
-369.660875,58,22.022191
-411.351862,79,23.206632
-130.186521,91,24.41265
-190.4459,83,25.747505
590.745353,228,28.712178
179.091453,89,29.965136
-624.057763,38,30.039959
-2388.344043,166,32.446243
704.042723,84,33.628332
2238.120482,149,35.305134
-296.410895,47,36.80663
-1050.633767,86,38.253556
-262.094716,61,38.396269
-666.653668,32,39.706571
2521.117408,172,41.323295
233.033755,91,42.784475
-182.757696,62,44.345936
515.383697,79,45.800017
-158.898319,74,46.97023
-600.527572,89,47.130856
1014.354032,95,48.546777
-548.694541,36,49.912536
643.466396,87,51.31817
297.171512,77,51.496841
-444.860722,47,52.803124
722.795582,91,54.014317
447.538949,83,55.449295
547.780153,89,55.605668
539.11044,89,56.791312
316.048982,84,57.990135
828.626614,79,59.163902
670.243398,90,60.353343
299.842301,81,61.55704
895.433061,87,62.758837
495.372149,81,62.901451
737.141083,92,64.075759
1393.725509,88,65.608856
830.254379,99,67.266737
-443.292881,48,68.632623
-604.584116,32,68.710954
-354.28438,54,69.955165
-314.13642,55,70.071041
353.996035,82,71.355941
416.490701,83,72.61387
2555.155759,140,73.991758
-32.751431,88,75.278883
-252.373857,56,76.425153
535.708575,80,76.568949
3548.145791,151,79.060068
431.082516,189,81.81672
-528.548872,52,81.903162
1846.124403,123,83.166643
778.814124,255,87.733517
870.994456,97,88.947905
-522.677516,51,90.09428
-805.203174,97,90.272761
511.798802,201,93.78292
754.928946,289,96.398666
-118.825563,113,98.702344
783.515889,105,99.94078
932.269596,111,101.190446
-71.526007,92,102.413131
-369.761521,94,103.62958
803.682158,101,104.869424
694.353654,106,106.105479
-48.677787,189,109.158339
-302.314256,84,109.438947
979.599841,132,112.459086
1494.965609,108,113.954145
4552.266463,184,117.221394
-747.083827,39,117.312972
-679.749357,42,117.412004
1129.086134,107,118.912572
270.604071,110,121.457011
1031.123881,105,122.700129
2825.697299,172,124.068618
188.036676,107,125.449821
4351.977381,197,128.897407
2002.632294,182,131.924572
-818.514751,200,134.672039
626.249678,114,136.155567
