total/epochs,rollout/episode_steps,train/loss_critic,obs_rms_mean,reference_actor_Q_mean,rollout/actions_mean,train/param_noise_distance,rollout/Q_mean,rollout/return_history,obs_rms_std,reference_Q_std,AI_distance,rollout/return,reference_actor_Q_std,reference_perturbed_action_std,AI_return,rollout/actions_std,total/steps_per_second,rollout/episodes,train/loss_actor,reference_Q_mean,total/duration,reference_action_std,total/steps,AI_success_rate,total/episodes,param_noise_stddev,reference_action_mean,reference_perturbed_action_mean
1,163.16666666666666,115.31468963623047,0.470846027135849,-52.027198791503906,0.37438327074050903,0.2062635038048029,-31.94127655029297,-1278.129416480797,0.21585768461227417,51.26445007324219,14.644845744955482,-1278.129416480797,48.38523483276367,0.9104124307632446,-1278.129416480797,0.8599119186401367,76.07884254993117,12.0,59.79413604736328,-55.200050354003906,26.288517713546753,0.9181504845619202,2000,,12.0,0.016294603698363365,0.2839387059211731,0.2834320068359375
2,170.2608695652174,219.46902465820312,0.45972004532814026,-65.26051330566406,0.3145515024662018,0.2243717548251152,-53.857540130615234,-1420.8726290712173,0.21179717779159546,96.21568298339844,15.10135902608531,-1420.8726290712173,93.93656921386719,0.8673703670501709,-1420.8726290712173,0.8904767632484436,74.9620295422462,23.0,99.65762329101562,-69.79840087890625,53.36034822463989,0.9091154336929321,4000,,23.0,0.01662212523270047,0.3215993642807007,0.43810924887657166
3,172.94117647058823,277.50811767578125,0.45132580399513245,-76.42919158935547,0.2852158546447754,0.21998586267232895,-67.35297393798828,-1313.194479135791,0.21226967871189117,147.86277770996094,14.925119930954983,-1313.194479135791,146.94558715820312,0.9048881530761719,-1313.194479135791,0.9083324670791626,74.55975115842328,34.0,132.70823669433594,-81.75981140136719,80.47237157821655,0.9292362332344055,6000,,34.0,0.0211056883401964,0.32182323932647705,0.3490499258041382
4,170.32608695652175,221.72564697265625,0.44240108132362366,-83.08216857910156,0.3113585114479065,0.20514804005622864,-87.5547103881836,-1175.5410122745154,0.2112082988023758,194.64710998535156,14.881502350002032,-1175.5410122745154,194.23306274414062,0.9254486560821533,-1175.5410122745154,0.9032706618309021,75.45202238026492,46.0,162.58880615234375,-88.02143096923828,106.02764177322388,0.9346453547477722,8000,,46.0,0.014751292160020392,0.2885630428791046,0.2933618426322937
5,169.11864406779662,460.3480529785156,0.44741788506507874,-88.20580291748047,0.3109874427318573,0.2087432201206684,-106.4375991821289,-945.506863561992,0.2045019268989563,232.94091796875,14.238214974555268,-945.506863561992,232.0857696533203,0.8992860913276672,-945.506863561992,0.9071635603904724,75.5346662213842,59.0,173.31747436523438,-93.13735961914062,132.38954377174377,0.9080226421356201,10000,,59.0,0.013896384493189945,0.2967250347137451,0.3455877900123596
6,171.69565217391303,1086.6246337890625,0.4534646272659302,-89.68312072753906,0.3226413130760193,0.20287750393152237,-126.64449310302734,-1021.1937258336767,0.20328058302402496,266.2525634765625,14.540667868979524,-1021.1937258336767,266.0602722167969,0.9252507090568542,-1021.1937258336767,0.9050514101982117,75.40618384112445,69.0,181.9503936767578,-94.75712585449219,159.13814210891724,0.928106427192688,12000,,69.0,0.01335415235733134,0.1943812221288681,0.25189176201820374
7,179.19230769230768,1528.7384033203125,0.45638859272003174,-92.3471450805664,0.33550477027893066,0.20901582673192023,-152.89089965820312,-1212.4042202484804,0.20148606598377228,289.52398681640625,14.90992720943505,-1212.4042202484804,286.8376159667969,0.9010159969329834,-1212.4042202484804,0.9017519354820251,75.07024742566266,78.0,215.8642578125,-96.93838500976562,186.49199223518372,0.8931293487548828,14000,,78.0,0.012332335652468109,0.3719903230667114,0.336835652589798
8,177.5222222222222,569.1390380859375,0.45780250430107117,-113.98957061767578,0.31769683957099915,0.20725449591875075,-169.7220001220703,-1144.9995971721853,0.19895105063915253,312.11517333984375,14.81489978929764,-1144.9995971721853,311.1034851074219,0.9118651747703552,-1144.9995971721853,0.9068909883499146,74.66809090681859,90.0,244.3406219482422,-120.28448486328125,214.28162693977356,0.940727174282074,16000,,90.0,0.013091022799070031,0.23369716107845306,0.3441564738750458
9,178.87,469.3065185546875,0.4528879225254059,-123.61808776855469,0.3115367889404297,0.1975118911266327,-182.8423309326172,-1113.5190394034444,0.19794945418834686,329.6329345703125,14.561837602953872,-1113.5190394034444,329.0462646484375,0.9578874707221985,-1113.5190394034444,0.9107076525688171,74.6104659235309,100.0,260.4850158691406,-128.95797729492188,241.25301694869995,0.9489425420761108,18000,,100.0,0.010728675346037303,0.17862428724765778,0.00023844558745622635
10,178.94594594594594,824.040283203125,0.45715808868408203,-122.55616760253906,0.27854812145233154,0.20766421929001808,-175.83230590820312,-1130.880571419741,0.1976843923330307,323.3055114746094,14.787214393371757,-1154.8623975391104,321.6733093261719,0.9613617658615112,-1154.8623975391104,0.9196932911872864,74.4583270164176,111.0,230.9229278564453,-130.3413848876953,268.60662603378296,0.9502418041229248,20000,,111.0,0.010106897490323717,0.17473115026950836,0.14696690440177917
